categories,subcategories,bedrooms,bathrooms,building_size,land_size,num_floors,furnished,geo_point,page_url,parent_url,ac_unit,balcony,yard,security,pool,price
house,"[""house"",""single-family-house""]",5,5,185.0,185.0,,,"[106.8747764,-6.367494]",https://www.lamudi.co.id/rumah-cimanggis-siap-huni-baru-cibubur-170012744867.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,yes,yes,yes,,,2200000000
house,"[""house"",""single-family-house""]",3,1,90.0,104.0,,,"[106.758618,-6.321479]",https://www.lamudi.co.id/jual-rumah-asri-di-bali-view-shm-sudah-renovasi-ha-171039736026.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,,yes,yes,,1550000000
house,"[""house"",""single-family-house""]",2,1,40.0,40.0,,,"[106.8118296,-6.4452406]",https://www.lamudi.co.id/dijual-rumah-modern-2kamar-siap-huni-hanya-150-jut-170814287849.html,https://www.lamudi.co.id/west-java/depok/citayam/house/buy/,,,yes,yes,,150000000
house,"[""house"",""single-family-house""]",3,2,61.0,65.0,,,"[106.81139,-6.38417]",https://www.lamudi.co.id/rumah-dekat-jaksel-tanpa-dp-5-menit-tol-kukusan-10-168698734750.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,yes,yes,yes,,891000000
house,"[""house"",""single-family-house""]",2,1,30.0,40.0,,,"[106.78889,-6.43778]",https://www.lamudi.co.id/rumah-mewah-harga-murah-dekat-stasiun-depok-170589237799.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,yes,,yes,yes,,240000000
house,"[""house"",""single-family-house""]",4,2,90.0,60.0,2.0,,"[106.84333,-6.42694]",https://www.lamudi.co.id/rumah-di-villa-pertiwi-depok-7-menit-ke-rs-primaya-16951251361.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,,,,,,810000000
house,"[""house"",""single-family-house""]",3,2,72.0,60.0,,,null,https://www.lamudi.co.id/idaman-mertua-unit-eropa-classic-700-jutaan-sudah-166915763041.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,yes,yes,yes,yes,,790000000
house,"[""house"",""single-family-house""]",2,1,38.0,60.0,,,"[106.84333,-6.42694]",https://www.lamudi.co.id/rumah-gaya-bali-depok-dekat-tol-margonda-5menit-gd-167784274821.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,,,yes,yes,,464000000
house,"[""house"",""single-family-house""]",4,3,350.0,425.0,,,"[106.7837,-6.3314]",https://www.lamudi.co.id/di-jual-rumah-baru-di-cinere-komplek-exclusive-nya-169868315638.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,,,,,7900000000
house,"[""house"",""townhouse""]",2,2,88.0,84.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/di-jual-new-cluster-lokasi-strategis-hunian-sangat-169873848250.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,1300000000
