lokasi,harga,kamar_tidur,kamar_mandi,luas_bangunan,rumah_luas_lahan,keamanan24jam,taman,lahan_parkir,balcony,AC
bojongsari,600000000,2.0,1.0,45.0,110.0,no,no,1.0,no,no
cinere,950000000,3.0,2.0,100.0,95.0,no,yes,1.0,yes,yes
sawangan,2850000000,3.0,2.0,270.0,512.0,no,no,1.0,no,no
beji,930550000,2.0,1.0,40.0,83.0,yes,no,1.0,no,no
cimanggis,2500000000,4.0,4.0,238.0,185.0,yes,yes,2.0,yes,yes
cilodong,389000000,2.0,1.0,40.0,45.0,no,yes,1.0,no,yes
sawangan,353000000,2.0,2.0,40.0,40.0,no,no,1.0,no,no
sukmajaya,700000000,3.0,1.0,125.0,151.0,no,yes,1.0,no,no
beji,1350000000,3.0,3.0,100.0,72.0,no,no,2.0,no,no
beji,1630000000,3.0,2.0,81.0,83.0,yes,yes,2.0,yes,no
cilodong,800000000,3.0,2.0,65.0,119.0,no,yes,1.0,yes,yes
sawangan,299000000,2.0,1.0,30.0,50.0,no,no,1.0,no,no
cimanggis,791000000,3.0,2.0,69.0,60.0,yes,yes,1.0,yes,no
sawangan,804000000,3.0,2.0,56.0,68.0,yes,yes,1.0,yes,yes
cipayung,330000000,2.0,1.0,32.0,60.0,yes,no,1.0,no,no
beji,1112000000,3.0,2.0,100.0,95.0,no,no,1.0,no,no
cilodong,476000000,3.0,2.0,37.0,40.0,no,no,1.0,no,no
cilodong,790000000,3.0,2.0,54.0,65.0,yes,yes,1.0,no,yes
tapos,890000000,3.0,2.0,74.0,62.0,no,no,2.0,no,yes
tapos,300000000,2.0,1.0,36.0,61.0,no,yes,1.0,yes,yes
pancoran mas,560000000,2.0,2.0,42.0,40.0,no,no,1.0,no,no
cilodong,703000000,3.0,2.0,54.0,74.0,no,no,1.0,no,no
sawangan,350000000,2.0,1.0,26.0,60.0,no,no,1.0,no,no
pancoran mas,742350000,3.0,2.0,60.0,60.0,no,yes,1.0,no,no
sukmajaya,495000000,2.0,2.0,40.0,52.0,yes,yes,1.0,yes,no
sawangan,300000000,2.0,1.0,40.0,60.0,yes,yes,1.0,no,no
bojongsari,900000000,3.0,1.0,81.0,81.0,no,no,1.0,no,no
sawangan,395000000,2.0,1.0,36.0,72.0,yes,yes,1.0,no,no
cilodong,1200000000,3.0,2.0,140.0,72.0,yes,yes,1.0,yes,yes
pancoran mas,495000000,2.0,1.0,45.0,70.0,no,yes,1.0,no,no
pancoran mas,825000000,3.0,2.0,72.0,65.0,yes,yes,1.0,yes,yes
beji,1033000000,3.0,2.0,80.0,60.0,yes,yes,1.0,yes,yes
sawangan,800000000,4.0,3.0,101.0,77.0,no,yes,2.0,no,no
cimanggis,680000000,3.0,2.0,64.0,55.0,yes,yes,1.0,no,yes
sukmajaya,589000000,2.0,1.0,48.0,72.0,no,no,1.0,no,no
cilodong,494000000,2.0,1.0,41.0,69.0,yes,yes,1.0,no,yes
cimanggis,693000000,3.0,2.0,60.0,50.0,no,no,1.0,no,no
sawangan,250000000,2.0,1.0,36.0,51.0,no,no,1.0,no,no
cipayung,654500000,2.0,1.0,45.0,73.0,yes,yes,1.0,no,no
bojongsari,575000000,2.0,1.0,40.0,108.0,yes,yes,1.0,no,no
beji,1650000000,3.0,3.0,120.0,150.0,no,no,2.0,no,no
pancoran mas,600000000,2.0,1.0,48.0,84.0,yes,yes,1.0,no,no
sawangan,765000000,3.0,2.0,56.0,85.0,yes,yes,1.0,yes,yes
pancoran mas,550000000,2.0,1.0,45.0,72.0,no,yes,1.0,no,no
cipayung,275000000,2.0,1.0,45.0,75.0,no,no,1.0,no,no
sawangan,900000000,3.0,3.0,78.0,70.0,yes,yes,1.0,yes,yes
sawangan,350000000,2.0,1.0,45.0,56.0,no,no,1.0,no,no
cilodong,650000000,3.0,2.0,60.0,75.0,no,no,1.0,no,no
sawangan,485000000,2.0,1.0,45.0,45.0,no,yes,1.0,no,no
bojongsari,750000000,3.0,2.0,80.0,125.0,no,no,1.0,no,no
sawangan,350000000,2.0,1.0,38.0,60.0,yes,yes,1.0,no,no
bojongsari,2200000000,3.0,3.0,109.0,160.0,no,yes,1.0,no,no
bojongsari,850000000,2.0,2.0,45.0,105.0,yes,no,1.0,no,yes
sawangan,350000000,2.0,1.0,36.0,72.0,yes,yes,1.0,no,yes
beji,1150000000,3.0,2.0,102.0,82.0,no,no,1.0,no,no
cilodong,800000000,3.0,2.0,60.0,70.0,yes,yes,1.0,no,yes
sawangan,604569500,2.0,1.0,38.0,1.0,no,no,1.0,no,no
sukmajaya,570000000,2.0,2.0,50.0,40.0,no,no,1.0,no,no
beji,247000000,2.0,1.0,36.0,60.0,no,no,1.0,no,yes
depok,975000000,3.0,2.0,84.0,64.0,yes,yes,1.0,no,no
cilodong,685000000,3.0,2.0,54.0,61.0,yes,yes,1.0,yes,yes
pancoran mas,450000000,2.0,1.0,40.0,65.0,yes,yes,1.0,no,yes
sukmajaya,875000000,3.0,3.0,80.0,75.0,no,yes,1.0,yes,no
cilodong,990000000,3.0,2.0,120.0,72.0,yes,yes,1.0,yes,yes
pancoran mas,995000000,3.0,2.0,75.0,72.0,no,yes,1.0,no,no
cipayung,195000000,2.0,1.0,30.0,40.0,yes,no,1.0,no,no
beji,750000000,4.0,2.0,90.0,107.0,no,no,1.0,no,no
sawangan,485000000,2.0,1.0,45.0,60.0,no,yes,1.0,no,no
pancoran mas,680000000,3.0,2.0,82.0,129.0,no,yes,1.0,no,yes
sukmajaya,500000000,3.0,2.0,42.0,81.0,yes,yes,1.0,no,no
beji,900000000,3.0,2.0,70.0,60.0,yes,yes,1.0,yes,yes
pancoran mas,765000000,3.0,2.0,85.0,87.0,no,no,1.0,no,no
sawangan,465000000,2.0,1.0,36.0,81.0,yes,yes,1.0,no,no
beji,420000000,2.0,1.0,40.0,66.0,yes,yes,1.0,no,no
limo,1400000000,3.0,3.0,90.0,70.0,yes,yes,2.0,no,yes
bojongsari,420000000,2.0,1.0,55.0,60.0,no,no,1.0,no,no
cilodong,495000000,4.0,2.0,66.0,72.0,yes,yes,1.0,no,no
sawangan,442250000,2.0,1.0,39.0,42.0,yes,no,1.0,no,no
pancoran mas,780000000,3.0,2.0,70.0,90.0,yes,no,1.0,no,no
cilodong,915000000,3.0,3.0,80.0,90.0,no,yes,1.0,yes,yes
sukmajaya,275000000,2.0,2.0,42.0,25.0,no,no,1.0,no,no
cimanggis,550000000,2.0,1.0,45.0,50.0,yes,yes,1.0,yes,yes
cimanggis,1342000000,3.0,3.0,110.0,78.0,no,no,1.0,no,no
cinere,1650000000,3.0,2.0,230.0,150.0,yes,yes,1.0,yes,yes
sukmajaya,670000000,2.0,1.0,40.0,90.0,no,yes,1.0,no,yes
sawangan,20000000000,6.0,6.0,372.0,3300.0,no,yes,3.0,no,no
pancoran mas,499000000,3.0,2.0,45.0,40.0,no,yes,1.0,no,no
cilodong,550000000,2.0,1.0,45.0,68.0,yes,yes,1.0,no,yes
cilodong,530000000,2.0,1.0,45.0,66.0,yes,yes,1.0,no,yes
pancoran mas,675000000,2.0,1.0,60.0,75.0,yes,yes,1.0,no,yes
bojongsari,348000000,2.0,1.0,32.0,30.0,no,yes,1.0,no,no
cimanggis,195000000,2.0,1.0,40.0,60.0,yes,yes,1.0,yes,yes
cimanggis,850000000,3.0,3.0,80.0,60.0,yes,yes,1.0,yes,yes
pancoran mas,1400000000,2.0,2.0,70.0,60.0,no,yes,1.0,no,no
cilodong,584000000,3.0,2.0,46.0,60.0,yes,yes,1.0,no,no
sawangan,484000000,2.0,1.0,45.0,66.0,yes,yes,1.0,no,no
cipayung,166000000,2.0,1.0,30.0,40.0,yes,yes,1.0,no,yes
cinere,3200000000,4.0,4.0,118.0,250.0,no,no,1.0,no,no
cilodong,310000000,2.0,1.0,40.0,55.0,yes,yes,1.0,no,yes
bojongsari,795000000,2.0,1.0,45.0,125.0,yes,yes,1.0,no,no
cimanggis,770000000,3.0,2.0,72.0,72.0,yes,yes,1.0,no,no
sawangan,695500000,3.0,2.0,56.0,65.0,yes,yes,1.0,yes,no
pancoran mas,1540000000,4.0,4.0,100.0,70.0,no,yes,1.0,no,no
cipayung,390000000,2.0,1.0,45.0,68.0,no,yes,1.0,no,no
cilodong,690000000,3.0,2.0,50.0,128.0,yes,yes,1.0,no,no
sukmajaya,745000000,2.0,1.0,40.0,90.0,yes,yes,1.0,no,no
bojongsari,300000000,2.0,1.0,32.0,60.0,yes,yes,1.0,no,yes
pancoran mas,550000000,2.0,1.0,36.0,66.0,no,no,1.0,no,no
cimanggis,799000000,3.0,2.0,68.0,78.0,no,no,1.0,no,no
bojongsari,1372000000,3.0,2.0,73.0,66.0,yes,yes,1.0,yes,yes
cimanggis,725000000,3.0,2.0,60.0,46.0,no,no,1.0,no,no
sawangan,1500000000,4.0,2.0,90.0,105.0,yes,yes,1.0,yes,yes
pancoran mas,429000000,4.0,3.0,99.0,96.0,yes,yes,2.0,no,no
limo,350000000,2.0,1.0,40.0,60.0,no,no,1.0,no,no
beji,1150000000,3.0,3.0,90.0,73.0,no,no,1.0,no,no
cilodong,789000000,2.0,2.0,70.0,120.0,yes,yes,1.0,no,yes
sawangan,1350000000,4.0,3.0,200.0,160.0,yes,yes,1.0,no,yes
sawangan,650000000,2.0,1.0,50.0,65.0,yes,yes,2.0,no,yes
pancoran mas,265000000,2.0,1.0,40.0,70.0,yes,yes,1.0,no,yes
cilodong,600000000,2.0,1.0,50.0,72.0,yes,yes,1.0,no,no
cimanggis,1100000000,3.0,2.0,107.0,80.0,no,yes,2.0,no,no
sawangan,305000000,2.0,1.0,40.0,60.0,yes,yes,1.0,no,yes
cilodong,275000000,2.0,1.0,36.0,50.0,no,yes,1.0,no,no
depok,990000000,3.0,2.0,90.0,84.0,no,yes,1.0,no,no
pancoran mas,3500000000,3.0,3.0,250.0,504.0,no,no,5.0,no,no
pancoran mas,1150000000,3.0,4.0,105.0,72.0,no,no,1.0,no,no
sawangan,400000000,2.0,1.0,40.0,54.0,yes,yes,1.0,yes,no
beji,900000000,3.0,3.0,72.0,72.0,yes,yes,1.0,yes,no
sawangan,537150000,3.0,2.0,44.0,50.0,yes,yes,1.0,no,yes
tapos,399000000,2.0,1.0,36.0,65.0,no,no,5.0,no,no
cimanggis,750000000,2.0,2.0,75.0,42.0,no,no,1.0,yes,no
cimanggis,850000000,3.0,1.0,100.0,120.0,no,no,1.0,no,no
sawangan,300000000,2.0,1.0,40.0,60.0,no,yes,1.0,no,no
sukmajaya,780000000,2.0,2.0,95.0,84.0,yes,yes,1.0,yes,yes
pancoran mas,3800000000,12.0,5.0,600.0,986.0,no,yes,11.0,no,no
cinere,1500000000,2.0,1.0,90.0,100.0,no,no,1.0,no,yes
beji,895000000,2.0,2.0,55.0,80.0,yes,yes,1.0,no,no
pancoran mas,792000000,3.0,2.0,72.0,60.0,yes,yes,1.0,no,no
pancoran mas,592150000,2.0,1.0,45.0,73.0,no,yes,1.0,no,no
pancoran mas,675000000,2.0,1.0,50.0,87.0,yes,no,1.0,no,no
sukmajaya,590000000,2.0,1.0,48.0,72.0,no,yes,1.0,no,no
sawangan,425000000,3.0,2.0,40.0,50.0,no,yes,1.0,yes,no
sawangan,40000000000,10.0,9.0,1200.0,9000.0,yes,yes,1.0,yes,yes
cipayung,180000000,2.0,1.0,30.0,40.0,no,no,1.0,no,no
cinere,315000000,2.0,1.0,36.0,52.0,yes,no,1.0,no,no
sukmajaya,275000000,2.0,1.0,40.0,55.0,no,no,1.0,yes,no
sawangan,432000000,2.0,1.0,40.0,68.0,no,no,1.0,no,no
cipayung,463242365,2.0,1.0,40.0,70.0,yes,yes,1.0,no,yes
sawangan,475000000,2.0,1.0,40.0,60.0,yes,yes,2.0,no,yes
cinere,800000000,3.0,3.0,80.0,101.0,yes,yes,1.0,yes,yes
cimanggis,1694000000,3.0,2.0,85.0,75.0,no,no,1.0,no,no
pancoran mas,707000000,3.0,1.0,60.0,68.0,no,no,1.0,no,no
sukmajaya,786500000,3.0,2.0,51.0,71.0,yes,no,1.0,no,no
sawangan,365000000,2.0,1.0,40.0,60.0,yes,no,1.0,yes,yes
cimanggis,483000000,2.0,2.0,51.0,85.0,no,yes,1.0,no,no
limo,550000000,3.0,1.0,72.0,90.0,no,no,12.0,no,no
cimanggis,2000000000,5.0,4.0,220.0,116.0,yes,no,1.0,no,yes
cimanggis,975000000,3.0,2.0,74.0,70.0,no,no,1.0,no,no
sukmajaya,1665000000,4.0,4.0,140.0,114.0,no,no,1.0,no,no
sukmajaya,880000000,2.0,1.0,36.0,90.0,no,no,1.0,no,no
sawangan,580000000,4.0,2.0,100.0,175.0,no,no,1.0,no,no
cilodong,685000000,2.0,2.0,50.0,82.0,yes,yes,1.0,no,yes
sukmajaya,850000000,3.0,3.0,80.0,69.0,yes,yes,1.0,yes,yes
cilodong,430000000,2.0,1.0,60.0,76.0,no,no,1.0,no,no
cilodong,400000000,2.0,1.0,40.0,47.0,no,no,1.0,no,no
bojongsari,805000000,2.0,1.0,56.0,105.0,yes,yes,2.0,no,yes
pancoran mas,7700000000,8.0,6.0,300.0,488.0,yes,yes,4.0,yes,yes
cipayung,265000000,2.0,1.0,36.0,70.0,yes,yes,1.0,no,yes
sukmajaya,571200000,2.0,2.0,42.0,40.0,no,yes,1.0,no,no
sawangan,947000000,3.0,2.0,60.0,66.0,no,no,2.0,no,no
cilodong,400000000,2.0,1.0,45.0,55.0,yes,yes,1.0,no,yes
cinere,1700000000,2.0,2.0,90.0,103.0,no,no,1.0,no,no
cilodong,600000000,2.0,1.0,42.0,62.0,no,no,1.0,no,no
depok,1300000000,3.0,1.0,70.0,212.0,no,no,1.0,no,no
cimanggis,390000000,2.0,1.0,31.0,51.0,yes,yes,1.0,no,yes
cimanggis,950000000,3.0,2.0,95.0,113.0,no,no,1.0,no,no
cipayung,450000000,2.0,1.0,36.0,70.0,no,yes,1.0,no,no
sawangan,480000000,2.0,1.0,45.0,64.0,yes,yes,1.0,no,no
cimanggis,545000000,2.0,1.0,36.0,63.0,no,no,1.0,no,no
bojongsari,225000000,1.0,1.0,24.0,24.0,no,no,1.0,no,no
bojongsari,659000000,2.0,1.0,40.0,84.0,yes,yes,1.0,no,yes
cimanggis,867250000,2.0,2.0,51.0,72.0,yes,yes,1.0,yes,no
bojongsari,551000000,2.0,1.0,49.0,70.0,no,no,15.0,no,no
cinere,2000000000,3.0,2.0,151.0,150.0,no,yes,1.0,no,no
cilodong,373000000,2.0,2.0,36.0,36.0,no,no,1.0,no,no
cimanggis,985000000,3.0,2.0,84.0,72.0,yes,yes,1.0,no,no
tapos,1750000000,4.0,3.0,220.0,161.0,no,yes,1.0,no,yes
cilodong,895000000,3.0,2.0,870.0,73.0,yes,yes,1.0,no,yes
sukmajaya,1300000000,2.0,1.0,130.0,170.0,no,no,2.0,no,no
cipayung,210000000,2.0,1.0,30.0,40.0,no,no,1.0,no,yes
cimanggis,500000000,3.0,2.0,65.0,70.0,yes,yes,1.0,no,no
sukmajaya,920000000,2.0,1.0,38.0,90.0,no,no,1.0,no,no
cinere,2600000000,4.0,4.0,170.0,110.0,yes,yes,2.0,yes,yes
beji,865000000,3.0,2.0,70.0,60.0,yes,no,1.0,yes,no
sukmajaya,2200000000,4.0,3.0,300.0,300.0,no,no,2.0,no,no
cimanggis,853000000,2.0,2.0,54.0,72.0,no,no,1.0,no,no
depok,697000000,3.0,2.0,60.0,68.0,no,yes,1.0,yes,yes
pancoran mas,908000000,2.0,1.0,40.0,85.0,no,yes,1.0,no,no
cinere,2500000000,4.0,4.0,170.0,110.0,no,no,1.0,no,no
sawangan,485000000,2.0,1.0,45.0,78.0,no,yes,1.0,no,yes
cimanggis,475000000,2.0,1.0,45.0,60.0,yes,yes,1.0,no,no
cimanggis,1100000000,4.0,3.0,101.0,91.0,yes,yes,2.0,yes,yes
cimanggis,1500000000,4.0,2.0,228.0,163.0,no,no,1.0,no,no
cimanggis,485000000,3.0,2.0,60.0,33.0,yes,yes,1.0,no,no
cilodong,420000000,2.0,1.0,75.0,122.0,no,no,1.0,no,no
sawangan,494000000,3.0,2.0,44.0,60.0,no,no,1.0,no,yes
depok,825000000,3.0,2.0,65.0,104.0,yes,yes,1.0,no,yes
sukmajaya,1100000000,2.0,1.0,100.0,95.0,no,no,1.0,no,no
cilodong,1380000000,4.0,3.0,200.0,140.0,no,no,1.0,no,no
bojongsari,850000000,2.0,2.0,50.0,55.0,no,no,1.0,no,no
sukmajaya,645000000,2.0,1.0,48.0,72.0,yes,yes,2.0,no,no
sawangan,435000000,2.0,1.0,39.0,63.0,no,no,1.0,no,no
cimanggis,700000000,3.0,2.0,56.0,65.0,yes,yes,1.0,yes,yes
cimanggis,975000000,3.0,2.0,1.0,110.0,no,no,1.0,no,no
sawangan,520900000,3.0,2.0,44.0,53.0,yes,yes,1.0,no,yes
pancoran mas,450000000,2.0,1.0,45.0,75.0,yes,yes,1.0,no,yes
tapos,525000000,2.0,1.0,50.0,81.0,no,no,1.0,no,no
cinere,1493461000,3.0,3.0,98.0,70.0,yes,yes,1.0,no,no
tapos,525000000,3.0,2.0,60.0,40.0,yes,yes,1.0,yes,no
cilodong,750000000,3.0,2.0,70.0,60.0,yes,yes,1.0,yes,yes
cimanggis,1963880000,3.0,3.0,150.0,163.0,yes,yes,1.0,no,no
cilodong,400000000,2.0,1.0,45.0,50.0,yes,no,1.0,no,yes
cilodong,390000000,2.0,2.0,38.0,70.0,yes,yes,1.0,no,yes
pancoran mas,551550000,2.0,1.0,45.0,66.0,no,yes,1.0,no,no
cimanggis,1350000000,4.0,4.0,317.0,300.0,no,no,1.0,no,no
limo,1200000000,2.0,1.0,48.0,1.0,no,no,1.0,no,no
sawangan,525000000,2.0,1.0,45.0,84.0,yes,yes,84.0,no,yes
cimanggis,1170000000,2.0,3.0,78.0,98.0,yes,yes,1.0,no,yes
depok,595000000,2.0,2.0,42.0,40.0,no,no,1.0,no,no
sawangan,754245776,3.0,2.0,60.0,75.0,no,no,1.0,no,no
pancoran mas,1250000000,3.0,2.0,100.0,71.0,no,no,2.0,no,no
sawangan,824696250,3.0,2.0,60.0,72.0,no,no,2.0,no,no
bojongsari,1122000000,3.0,2.0,73.0,66.0,no,no,1.0,no,no
sukmajaya,560000000,2.0,1.0,36.0,72.0,yes,yes,1.0,no,no
bojongsari,985000000,3.0,2.0,105.0,135.0,yes,yes,1.0,yes,yes
tapos,685000000,2.0,2.0,60.0,90.0,yes,yes,1.0,yes,yes
depok,6500000000,6.0,3.0,600.0,885.0,yes,yes,1.0,no,yes
cimanggis,800000000,3.0,2.0,69.0,69.0,no,yes,1.0,no,no
cilodong,372000000,2.0,1.0,36.0,36.0,yes,yes,1.0,no,no
sukmajaya,850000000,3.0,3.0,80.0,68.0,yes,yes,1.0,yes,yes
sukmajaya,680000000,2.0,2.0,60.0,90.0,yes,yes,1.0,no,yes
cimanggis,448920000,2.0,2.0,42.0,32.0,yes,yes,1.0,yes,no
sawangan,797000000,3.0,2.0,60.0,69.0,no,no,1.0,no,no
cilodong,580000000,2.0,1.0,45.0,61.0,no,no,1.0,no,no
limo,670000000,2.0,1.0,55.0,55.0,no,no,1.0,no,no
sawangan,675000000,3.0,2.0,70.0,72.0,no,no,2.0,no,no
sukmajaya,1650000000,5.0,3.0,140.0,105.0,yes,no,1.0,no,no
depok,375000000,2.0,1.0,45.0,91.0,no,no,1.0,no,no
cilodong,991000000,3.0,3.0,74.0,94.0,no,no,2.0,no,no
cilodong,530000000,2.0,1.0,40.0,66.0,yes,yes,1.0,no,no
cilodong,685000000,3.0,2.0,80.0,63.0,no,no,1.0,no,no
tapos,499999999,2.0,1.0,40.0,60.0,yes,yes,1.0,no,yes
cilodong,280000000,2.0,1.0,40.0,42.0,yes,yes,1.0,no,no
sawangan,510000000,2.0,1.0,45.0,83.0,no,no,1.0,no,no
beji,850000000,2.0,2.0,95.0,100.0,yes,yes,1.0,yes,no
bojongsari,490000000,2.0,1.0,42.0,62.0,no,no,15.0,no,no
cilodong,520000000,2.0,1.0,50.0,60.0,no,no,1.0,no,no
cimanggis,595000000,3.0,2.0,72.0,50.0,yes,yes,1.0,no,no
pancoran mas,825000000,3.0,2.0,84.0,52.0,no,no,1.0,yes,no
cimanggis,820000000,3.0,2.0,76.0,78.0,no,yes,2.0,no,no
cipayung,444400000,2.0,1.0,36.0,76.0,yes,yes,1.0,no,no
sawangan,285000000,2.0,1.0,36.0,60.0,no,yes,1.0,no,no
sawangan,1934000000,4.0,3.0,120.0,112.0,yes,yes,2.0,no,yes
beji,750000000,3.0,2.0,70.0,45.0,yes,yes,1.0,yes,no
tapos,399999999,2.0,1.0,38.0,70.0,yes,yes,1.0,no,yes
sawangan,185000000,2.0,1.0,36.0,50.0,yes,yes,1.0,no,no
cilodong,390000000,2.0,1.0,38.0,70.0,no,yes,1.0,no,yes
sukmajaya,1300000000,4.0,3.0,220.0,110.0,yes,no,1.0,yes,no
cimanggis,485000000,3.0,2.0,60.0,30.0,no,no,1.0,yes,no
beji,1200000000,4.0,3.0,120.0,90.0,no,no,2.0,no,no
bojongsari,772000000,2.0,1.0,45.0,84.0,yes,yes,1.0,no,yes
beji,750000000,3.0,2.0,60.0,60.0,no,no,1.0,yes,yes
cimanggis,560000000,2.0,1.0,30.0,50.0,yes,yes,1.0,no,no
bojongsari,582000000,2.0,1.0,36.0,65.0,no,no,1.0,no,no
sawangan,250000000,2.0,1.0,38.0,60.0,yes,yes,1.0,no,yes
tapos,850000000,3.0,2.0,65.0,55.0,yes,no,1.0,no,no
sawangan,480000000,2.0,1.0,36.0,59.0,no,no,1.0,no,no
sukmajaya,900000000,3.0,3.0,80.0,75.0,yes,yes,1.0,yes,yes
cimanggis,875000000,3.0,2.0,63.0,66.0,yes,yes,1.0,no,no
cimanggis,545000000,2.0,1.0,36.0,63.0,no,yes,1.0,no,no
cilodong,895000000,3.0,2.0,70.0,73.0,yes,yes,1.0,yes,yes
sawangan,654000000,2.0,1.0,38.0,68.0,yes,yes,1.0,no,yes
cinere,654000000,2.0,1.0,38.0,68.0,yes,yes,1.0,no,yes
sawangan,550000000,3.0,2.0,64.0,70.0,yes,yes,2.0,yes,no
pancoran mas,1000000000,3.0,2.0,84.0,100.0,no,no,1.0,no,no
pancoran mas,1400000000,4.0,3.0,114.0,86.0,no,no,1.0,no,no
pancoran mas,850000000,3.0,3.0,75.0,66.0,yes,yes,1.0,yes,yes
sawangan,585000000,2.0,1.0,42.0,60.0,no,no,1.0,no,no
sawangan,872500000,2.0,1.0,45.0,84.0,yes,yes,1.0,no,no
pancoran mas,708500000,2.0,2.0,55.0,82.0,yes,yes,1.0,no,yes
cilodong,474000000,2.0,2.0,40.0,45.0,no,yes,16.0,yes,no
pancoran mas,990000000,3.0,2.0,97.0,76.0,yes,yes,1.0,yes,yes
sawangan,299000000,2.0,1.0,30.0,50.0,yes,yes,1.0,no,no
cinere,1900000000,5.0,4.0,270.0,150.0,yes,yes,2.0,no,yes
cilodong,489000000,2.0,1.0,58.0,84.0,no,no,1.0,no,no
pancoran mas,1800000000,5.0,4.0,200.0,150.0,no,no,2.0,no,no
beji,750000000,2.0,1.0,36.0,72.0,no,no,1.0,no,no
beji,990000000,3.0,2.0,100.0,154.0,no,no,1.0,no,no
cimanggis,1200000000,5.0,2.0,250.0,166.0,no,no,1.0,no,no
cilodong,300000000,2.0,2.0,40.0,40.0,yes,no,1.0,no,no
depok,800000000,3.0,2.0,70.0,119.0,no,yes,1.0,no,yes
sawangan,200000000,2.0,1.0,36.0,50.0,yes,yes,1.0,no,yes
cimanggis,1400000000,3.0,1.0,178.0,110.0,no,no,1.0,no,no
sawangan,520000000,2.0,1.0,52.0,84.0,yes,yes,1.0,no,yes
cimanggis,3500000000,5.0,3.0,410.0,347.0,yes,yes,3.0,yes,no
cinere,929000000,4.0,3.0,78.0,77.0,yes,yes,2.0,yes,no
sawangan,414000000,2.0,1.0,36.0,70.0,yes,yes,1.0,no,yes
depok,525000000,2.0,1.0,45.0,84.0,yes,yes,84.0,no,yes
beji,575000000,2.0,1.0,45.0,69.0,yes,yes,1.0,no,yes
tapos,660000000,2.0,1.0,40.0,68.0,yes,yes,1.0,no,yes
bojongsari,594000000,3.0,2.0,45.0,60.0,no,yes,1.0,no,yes
cilodong,360000000,2.0,2.0,40.0,40.0,no,no,1.0,no,no
cimanggis,1300000000,4.0,3.0,140.0,108.0,no,no,1.0,no,no
sawangan,500000000,3.0,2.0,60.0,50.0,no,no,1.0,no,no
beji,654500000,2.0,1.0,45.0,73.0,no,yes,1.0,no,yes
bojongsari,430000000,2.0,1.0,48.0,60.0,no,no,1.0,no,no
cinere,800000000,3.0,3.0,78.0,70.0,yes,yes,2.0,yes,yes
beji,700000000,4.0,2.0,150.0,96.0,no,no,1.0,no,no
cilodong,625000000,2.0,1.0,45.0,125.0,no,no,1.0,no,no
depok,850000000,3.0,1.0,75.0,96.0,yes,yes,1.0,no,no
sukmajaya,653000000,2.0,2.0,60.0,87.0,yes,yes,1.0,no,yes
cimanggis,550000000,3.0,2.0,65.0,72.0,yes,yes,1.0,no,no
cinere,850000000,3.0,1.0,80.0,115.0,no,yes,1.0,no,no
depok,850000000,3.0,2.0,70.0,70.0,no,no,1.0,no,no
tapos,422000000,2.0,1.0,36.0,70.0,yes,yes,1.0,no,no
cilodong,538000000,2.0,1.0,40.0,73.0,no,no,1.0,no,no
cilodong,3900000000,3.0,4.0,540.0,540.0,no,no,1.0,no,no
sukmajaya,1800000000,6.0,4.0,480.0,240.0,no,no,2.0,no,no
cimanggis,896797763,3.0,2.0,55.0,67.0,no,no,1.0,no,no
cilodong,530000000,2.0,1.0,40.0,66.0,no,yes,1.0,no,no
sawangan,695000000,3.0,2.0,70.0,50.0,yes,yes,1.0,no,no
cilodong,800000000,3.0,2.0,55.0,80.0,yes,yes,1.0,yes,yes
cinere,2500000000,4.0,4.0,170.0,110.0,no,no,2.0,no,no
cilodong,3700000000,3.0,4.0,120.0,194.0,no,no,1.0,no,no
sukmajaya,610000000,2.0,1.0,40.0,60.0,yes,yes,1.0,no,yes
cipayung,477424550,2.0,1.0,40.0,72.0,yes,yes,1.0,no,yes
cimanggis,780000000,3.0,2.0,50.0,62.0,no,no,1.0,no,no
pancoran mas,1537000000,4.0,4.0,100.0,66.0,no,no,1.0,no,no
beji,1493500000,3.0,3.0,110.0,72.0,yes,yes,2.0,no,yes
sukmajaya,660000000,2.0,2.0,65.0,84.0,no,no,1.0,no,no
cimanggis,760000000,2.0,2.0,80.0,70.0,no,no,1.0,no,no
cilodong,350000000,2.0,1.0,50.0,50.0,no,no,1.0,no,no
sawangan,390000000,2.0,1.0,60.0,40.0,no,no,1.0,no,no
cilodong,459500000,2.0,1.0,40.0,50.0,no,no,1.0,no,no
bojongsari,711000000,2.0,2.0,45.0,44.0,no,no,1.0,no,no
bojongsari,900000000,4.0,1.0,180.0,120.0,no,no,1.0,no,no
pancoran mas,1200000000,3.0,2.0,82.0,107.0,no,no,1.0,no,no
cimanggis,520000000,2.0,1.0,50.0,72.0,yes,yes,1.0,no,no
cilodong,510000000,2.0,1.0,50.0,70.0,no,no,1.0,no,no
sawangan,625000000,3.0,2.0,50.0,71.0,no,no,1.0,no,no
sukmajaya,670000000,2.0,1.0,45.0,90.0,yes,yes,1.0,yes,yes
cipayung,467272500,2.0,1.0,40.0,71.0,yes,yes,1.0,no,yes
sawangan,450000000,2.0,1.0,50.0,70.0,yes,yes,1.0,yes,yes
sukmajaya,290000000,2.0,2.0,40.0,25.0,no,no,1.0,no,no
pancoran mas,350000000,2.0,1.0,40.0,60.0,yes,yes,60.0,no,no
cilodong,400000000,2.0,1.0,40.0,53.0,no,no,1.0,no,no
