lokasi,harga,kamar_tidur,kamar_mandi,luas_bangunan,rumah_luas_lahan,keamanan24jam,taman,lahan_parkir,balcony,AC
pancoran mas,1050000000,5.0,2.0,154.0,83.0,yes,yes,1.0,yes,no
beji,1680000000,3.0,1.0,103.0,133.0,yes,yes,1.0,yes,no
pancoran mas,1200000000,3.0,2.0,124.0,131.0,yes,yes,1.0,no,no
cinere,2290000000,3.0,3.0,110.0,186.0,yes,yes,2.0,no,no
cimanggis,1560000000,3.0,3.0,135.0,126.0,yes,yes,1.0,yes,no
beji,1320000000,2.0,2.0,98.0,87.0,yes,yes,1.0,no,no
sawangan,1560000000,3.0,2.0,90.0,109.0,yes,yes,2.0,no,no
pancoran mas,660000000,2.0,1.0,45.0,80.0,yes,yes,1.0,no,no
cinere,1320000000,3.0,3.0,140.0,72.0,yes,yes,1.0,yes,no
tapos,1100000000,2.0,2.0,135.0,90.0,yes,yes,1.0,yes,no
pancoran mas,1800000000,4.0,2.0,130.0,105.0,yes,yes,2.0,yes,no
cinere,1500000000,3.0,2.0,105.0,95.0,yes,yes,1.0,no,no
cilodong,870000000,3.0,2.0,90.0,119.0,yes,yes,1.0,no,no
beji,660000000,2.0,1.0,45.0,80.0,yes,yes,1.0,no,no
beji,4200000000,3.0,4.0,120.0,194.0,yes,yes,1.0,no,no
sukmajaya,1500000000,3.0,3.0,104.0,164.0,yes,yes,1.0,no,no
cinere,1475000000,4.0,3.0,150.0,151.0,yes,yes,1.0,no,no
bojongsari,710000000,2.0,1.0,60.0,86.0,yes,yes,1.0,no,no
cinere,1080000000,3.0,2.0,80.0,84.0,yes,yes,1.0,no,no
cinere,1550000000,3.0,3.0,200.0,105.0,yes,yes,1.0,yes,no
cimanggis,1100000000,2.0,2.0,135.0,90.0,yes,yes,1.0,yes,no
pancoran mas,4200000000,3.0,4.0,120.0,194.0,yes,yes,1.0,yes,no
pancoran mas,1380000000,3.0,2.0,90.0,72.0,yes,yes,1.0,yes,no
bojongsari,2160000000,2.0,1.0,60.0,152.0,yes,yes,1.0,no,no
bojongsari,1200000000,2.0,1.0,43.0,130.0,yes,yes,1.0,no,no
cinere,2400000000,3.0,2.0,150.0,120.0,yes,yes,1.0,no,no
sawangan,1400000000,3.0,2.0,135.0,225.0,yes,yes,2.0,yes,no
cinere,1320000000,2.0,2.0,98.0,87.0,yes,yes,1.0,no,no
tapos,899000000,2.0,1.0,60.0,105.0,yes,yes,1.0,no,no
pancoran mas,1800000000,3.0,3.0,150.0,106.0,yes,yes,1.0,yes,no
cinere,2040000000,2.0,2.0,150.0,113.0,yes,no,1.0,no,no
bojongsari,859000000,2.0,1.0,90.0,108.0,yes,yes,1.0,no,no
sawangan,859000000,2.0,1.0,90.0,108.0,yes,yes,1.0,no,no
bojongsari,1680000000,3.0,2.0,88.0,152.0,yes,yes,2.0,no,no
sawangan,950000000,3.0,1.0,125.0,150.0,yes,yes,1.0,no,no
cimanggis,2999000000,4.0,4.0,150.0,232.0,yes,yes,1.0,yes,no
cilodong,699000000,2.0,1.0,40.0,88.0,yes,yes,1.0,no,no
cinere,2460000000,4.0,5.0,200.0,133.0,yes,yes,1.0,no,no
beji,1560000000,3.0,2.0,85.0,133.0,yes,no,1.0,no,no
sawangan,690000000,2.0,1.0,50.0,76.0,yes,yes,1.0,no,no
sawangan,900000000,3.0,2.0,55.0,60.0,yes,yes,1.0,yes,yes
bojongsari,1400000000,3.0,2.0,90.0,227.0,yes,yes,2.0,no,no
pancoran mas,1680000000,3.0,1.0,103.0,133.0,yes,yes,1.0,yes,no
cipayung,630000000,2.0,1.0,45.0,84.0,yes,yes,1.0,no,no
beji,1080000000,2.0,1.0,70.0,90.0,yes,yes,1.0,no,no
