lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
cimanggis,2,1,42.0,70.0,no,no,no,no,866606000
sawangan,2,2,42.0,40.0,yes,no,yes,no,564000000
sawangan,3,3,101.0,77.0,yes,yes,yes,yes,800000000
beji,3,3,90.0,73.0,no,no,no,no,1150000000
bojongsari,2,1,40.0,66.0,yes,yes,no,no,400000000
cilodong,2,1,48.0,65.0,no,no,no,no,575000000
cilodong,2,1,40.0,90.0,yes,yes,no,yes,670000000
pancoran mas,2,1,55.0,70.0,no,yes,no,yes,800000000
cilodong,4,2,66.0,72.0,yes,yes,no,no,495000000
beji,2,2,51.0,60.0,no,no,no,no,776000000
beji,4,2,150.0,96.0,no,no,no,no,700000000
bojongsari,2,1,45.0,110.0,no,no,no,no,600000000
bojongsari,2,1,45.0,125.0,yes,yes,no,no,795000000
sawangan,3,2,70.0,80.0,yes,yes,yes,yes,1000000000
cilodong,2,1,45.0,78.0,no,no,no,no,670500000
sukmajaya,4,4,119.0,120.0,no,no,no,no,1680000000
sukmajaya,4,3,140.0,113.0,no,no,no,no,1660000000
bojongsari,2,1,40.0,108.0,yes,yes,no,no,575000000
cilodong,2,1,36.0,60.0,no,yes,no,no,700000000
sukmajaya,3,3,80.0,72.0,yes,yes,yes,yes,915000000
tapos,2,1,87.0,87.0,no,no,no,no,499000000
cipayung,2,1,45.0,68.0,no,yes,no,no,390000000
sukmajaya,2,2,40.0,25.0,no,no,no,no,290000000
cilodong,3,2,60.0,60.0,no,no,no,no,769950000
pancoran mas,3,2,80.0,50.0,no,yes,no,yes,865000000
cilodong,2,2,42.0,40.0,no,yes,no,no,360000000
tapos,3,3,80.0,81.0,no,yes,yes,yes,925000000
sawangan,2,1,36.0,60.0,yes,yes,no,yes,245000000
bojongsari,2,1,45.0,75.0,no,no,no,no,575000000
cilodong,3,2,90.0,72.0,yes,no,no,no,1380000000
sawangan,2,1,45.0,45.0,no,yes,no,no,485000000
sawangan,2,1,45.0,74.0,no,no,no,no,575000000
cimanggis,2,3,70.0,83.0,yes,yes,yes,yes,1188860000
cipayung,2,2,45.0,84.0,no,no,no,no,465000000
cilodong,2,1,45.0,90.0,yes,no,no,no,1000000000
sukmajaya,3,2,60.0,60.0,no,no,no,no,750000000
sawangan,2,1,45.0,73.0,yes,yes,no,no,575000000
limo,2,2,150.0,113.0,yes,no,no,no,2040000000
sawangan,3,2,110.0,67.0,no,no,no,no,950000000
cipayung,2,1,45.0,75.0,no,no,no,no,275000000
bojongsari,2,1,50.0,73.0,no,no,no,no,550000000
cilodong,3,2,85.0,107.0,yes,yes,yes,yes,1195000000
sawangan,2,2,42.0,41.0,no,no,no,no,571000000
cilodong,2,2,60.0,90.0,yes,yes,no,no,685000000
tapos,2,1,36.0,70.0,yes,yes,no,no,422000000
cinere,4,5,130.0,100.0,no,no,yes,no,1650000000
cimanggis,3,2,60.0,33.0,yes,yes,yes,no,490000000
sawangan,2,2,60.0,84.0,no,no,no,no,859000000
cilodong,1,1,24.0,24.0,no,no,no,no,166000000
bojongsari,2,1,45.0,81.0,no,no,no,no,530000000
depok,3,3,101.0,68.0,no,no,no,no,945000000
bojongsari,3,2,76.0,101.0,no,no,no,no,795000000
cimanggis,2,1,36.0,84.0,yes,yes,no,yes,742982000
cimanggis,3,2,72.0,50.0,yes,yes,no,no,595000000
pancoran mas,3,3,114.0,84.0,no,no,no,no,1200000000
sawangan,3,2,70.0,70.0,no,yes,no,yes,795000000
cilodong,3,2,70.0,73.0,yes,yes,yes,yes,895000000
pancoran mas,2,1,50.0,50.0,no,no,no,no,330000000
bojongsari,2,1,40.0,76.0,no,no,no,no,516000000
pancoran mas,2,1,40.0,60.0,yes,yes,no,no,350000000
beji,2,1,45.0,66.0,no,yes,no,no,551550000
sawangan,2,1,45.0,98.0,yes,yes,no,no,850000000
tapos,4,4,70.0,82.0,yes,no,yes,no,940000000
cimanggis,3,2,72.0,72.0,yes,yes,no,no,770000000
cipayung,2,1,40.0,63.0,no,yes,no,no,494000000
beji,3,3,130.0,96.0,no,yes,no,yes,1495000000
sukmajaya,2,1,45.0,90.0,yes,yes,yes,yes,670000000
depok,2,1,48.0,64.0,no,no,no,no,419000000
sukmajaya,3,3,80.0,75.0,yes,yes,yes,yes,900000000
pancoran mas,4,3,140.0,52.0,no,no,no,no,985000000
beji,2,2,70.0,98.0,no,no,no,no,987000000
sukmajaya,3,2,80.0,112.0,no,no,no,no,800000000
sawangan,3,2,101.0,70.0,yes,yes,yes,yes,945000000
sukmajaya,2,1,36.0,42.0,no,no,no,no,650000000
tapos,4,4,98.0,120.0,no,no,no,no,1900000000
depok,2,1,36.0,46.0,yes,yes,no,no,409000000
pancoran mas,3,2,84.0,52.0,no,no,yes,no,825000000
depok,2,1,36.0,60.0,yes,yes,no,yes,450000000
pancoran mas,2,1,60.0,68.0,no,no,no,no,707000000
cilodong,2,1,45.0,90.0,no,yes,no,yes,670000000
sawangan,2,1,45.0,60.0,no,yes,no,no,485000000
cilodong,3,3,85.0,70.0,no,yes,yes,no,775000000
cilodong,3,2,54.0,60.0,no,yes,no,no,599900000
cilodong,3,2,54.0,65.0,yes,yes,yes,no,840000000
sawangan,2,2,40.0,50.0,no,no,no,no,503000000
sawangan,2,1,45.0,72.0,no,yes,no,no,480000000
cimanggis,2,2,118.0,90.0,no,no,no,no,1495000000
sawangan,2,1,54.0,84.0,no,no,no,no,550000000
depok,2,1,45.0,91.0,no,no,no,no,375000000
limo,2,1,55.0,77.0,no,no,no,no,670000000
cilodong,3,3,80.0,68.0,yes,yes,yes,yes,850000000
cimanggis,2,1,90.0,90.0,no,no,no,no,685000000
pancoran mas,3,2,75.0,60.0,no,no,no,no,1160000000
cilodong,2,1,48.0,81.0,yes,yes,no,no,781000000
depok,2,1,57.0,78.0,no,no,no,no,580000000
sawangan,3,2,101.0,68.0,yes,yes,yes,no,945000000
sukmajaya,2,1,45.0,72.0,yes,yes,no,no,600000000
cimanggis,3,2,70.0,81.0,no,no,no,no,1090559600
sawangan,2,1,42.0,89.0,yes,yes,no,no,731400000
cimanggis,2,1,80.0,75.0,no,no,no,yes,900000000
bojongsari,3,3,110.0,98.0,yes,yes,yes,no,1900000000
pancoran mas,2,1,40.0,83.0,no,yes,no,no,930550000
pancoran mas,4,3,99.0,96.0,yes,yes,no,no,429000000
bojongsari,2,1,45.0,90.0,yes,yes,no,no,780000000
cilodong,2,1,40.0,55.0,no,no,no,no,487450000
cinere,4,5,120.0,127.0,no,no,no,yes,2700000000
bojongsari,3,2,80.0,88.0,no,no,no,no,1200000000
cilodong,2,1,36.0,36.0,yes,yes,no,no,372000000
cinere,3,3,80.0,90.0,yes,yes,yes,yes,800000000
cimanggis,3,2,60.0,33.0,yes,no,no,no,490000000
cimanggis,3,2,70.0,65.0,no,no,no,no,897000000
pancoran mas,3,3,100.0,107.0,no,yes,no,yes,1700000000
tapos,2,1,45.0,73.0,yes,yes,no,no,540000000
cilodong,3,2,72.0,90.0,no,no,no,no,1231000000
cimanggis,3,2,85.0,75.0,no,no,no,no,1694000000
beji,2,2,60.0,90.0,yes,yes,no,yes,720000000
sawangan,2,1,36.0,72.0,yes,yes,no,no,395000000
depok,2,1,45.0,73.0,no,no,no,no,530000000
pancoran mas,3,2,85.0,87.0,no,no,no,no,765000000
cilodong,2,1,60.0,90.0,no,no,no,no,910000000
beji,3,2,80.0,60.0,no,yes,no,yes,900000000
sawangan,2,2,45.0,40.0,no,no,no,no,597000000
cimanggis,2,2,51.0,73.0,no,no,no,no,835250000
cimanggis,3,2,92.0,96.0,no,no,no,no,2145000000
bojongsari,2,2,45.0,44.0,no,no,no,no,711000000
pancoran mas,3,2,84.0,100.0,no,yes,yes,no,1050000000
sukmajaya,2,2,42.0,25.0,no,no,no,no,275000000
cimanggis,3,2,103.0,120.0,yes,yes,no,no,1280000000
cimanggis,3,2,74.0,64.0,no,no,no,no,995000000
cimanggis,3,2,60.0,60.0,no,no,no,no,730000000
cipayung,2,1,21.0,50.0,yes,yes,no,no,236000000
sawangan,3,2,80.0,120.0,yes,yes,yes,yes,1580000000
sukmajaya,3,2,66.0,72.0,yes,yes,yes,no,825000000
sukmajaya,3,3,70.0,72.0,yes,yes,no,yes,915000000
cipayung,3,3,144.0,109.0,no,no,no,no,800000000
sawangan,2,1,45.0,84.0,yes,yes,no,no,872500000
sukmajaya,3,3,66.0,66.0,no,no,no,no,887250000
sukmajaya,3,2,51.0,71.0,yes,no,no,no,786500000
cimanggis,3,3,80.0,70.0,no,yes,yes,yes,915000000
bojongsari,3,3,87.0,77.0,yes,yes,yes,no,1286000000
sawangan,2,1,42.0,72.0,yes,no,no,yes,450000000
cimanggis,2,1,36.0,60.0,no,no,no,no,580000000
beji,2,1,45.0,50.0,no,no,no,no,500000000
cilodong,3,3,80.0,112.0,no,yes,no,no,988000000
cimanggis,3,2,60.0,86.0,no,no,no,no,1100000000
cilodong,2,1,45.0,105.0,no,no,no,no,950000000
beji,3,3,65.0,70.0,no,no,no,no,900000000
bojongsari,2,1,60.0,70.0,yes,yes,no,yes,765000000
beji,3,3,140.0,77.0,yes,no,no,no,1700000000
sawangan,2,1,45.0,60.0,yes,no,yes,yes,500000000
cimanggis,3,2,72.0,60.0,yes,no,no,no,847000000
cinere,2,1,58.0,90.0,yes,no,no,no,620000000
cilodong,3,3,80.0,83.0,no,yes,yes,yes,925000000
cimanggis,3,2,100.0,100.0,yes,yes,yes,yes,1250000000
beji,3,3,145.0,115.0,yes,yes,no,no,1560000000
sawangan,2,2,40.0,60.0,no,no,no,no,457900000
cimanggis,3,3,112.0,128.0,yes,yes,no,yes,2100000000
cimanggis,2,2,48.0,42.0,yes,no,no,no,480000000
bojongsari,2,2,51.0,72.0,yes,yes,no,no,887250000
sawangan,3,2,70.0,63.0,no,no,no,no,822000000
cilodong,3,2,66.0,60.0,no,no,no,no,650000000
cilodong,2,1,34.0,76.0,yes,yes,no,yes,999350000
sawangan,2,1,50.0,76.0,yes,yes,no,no,690000000
limo,3,2,75.0,89.0,no,yes,no,yes,895000000
sawangan,3,3,104.0,84.0,yes,yes,yes,no,1554000000
sawangan,2,2,50.0,65.0,no,no,no,no,625000000
bojongsari,2,1,40.0,82.0,yes,yes,no,yes,475000000
pancoran mas,3,2,70.0,95.0,no,yes,no,yes,800000000
cilodong,3,2,37.0,40.0,no,no,no,no,476000000
sawangan,3,3,111.0,98.0,yes,yes,yes,no,1944593000
sawangan,3,2,44.0,50.0,yes,no,no,yes,449000000
cinere,3,3,75.0,96.0,yes,yes,no,no,999000000
cimanggis,3,2,70.0,67.0,yes,yes,yes,no,940110000
pancoran mas,3,3,75.0,80.0,no,yes,no,yes,950000000
cipayung,2,1,30.0,40.0,yes,yes,no,yes,166000000
sukmajaya,2,1,40.0,60.0,yes,yes,no,yes,610000000
depok,2,1,45.0,84.0,yes,no,no,no,590000000
cilodong,3,3,80.0,82.0,yes,yes,yes,yes,925000000
bojongsari,2,1,36.0,75.0,no,no,no,no,453000000
cilodong,2,2,45.0,40.0,yes,yes,yes,no,455000000
cilodong,3,2,56.0,66.0,yes,yes,no,no,665197500
cilodong,2,1,40.0,45.0,no,yes,no,yes,389000000
depok,3,2,75.0,85.0,no,no,yes,no,998000000
sawangan,2,1,50.0,70.0,yes,yes,yes,yes,450000000
cimanggis,3,2,63.0,55.0,no,no,no,no,740000000
sukmajaya,2,2,51.0,59.0,yes,yes,no,no,768000000
sukmajaya,3,2,80.0,84.0,no,no,no,no,870000000
pancoran mas,2,2,42.0,40.0,no,no,no,no,560000000
tapos,2,1,30.0,56.0,yes,yes,no,yes,495000000
beji,2,1,55.0,84.0,no,yes,no,yes,375000000
cimanggis,4,3,130.0,62.0,no,no,no,no,888000000
cilodong,2,2,60.0,87.0,yes,yes,no,no,651000000
depok,4,3,110.0,90.0,yes,no,no,yes,1120000000
depok,2,1,60.0,75.0,no,no,no,no,720000000
cimanggis,3,2,47.0,45.0,yes,yes,yes,no,761000000
sawangan,2,1,40.0,60.0,no,yes,no,yes,490000000
cimanggis,3,2,61.0,60.0,yes,yes,yes,no,790000000
cilodong,2,1,50.0,60.0,no,no,no,no,520000000
depok,4,2,95.0,88.0,no,no,no,no,930000000
bojongsari,2,1,32.0,60.0,yes,yes,no,yes,300000000
cinere,2,2,150.0,113.0,yes,no,no,no,2040000000
sawangan,2,1,45.0,76.0,yes,yes,no,yes,273000000
beji,3,3,120.0,72.0,yes,no,no,yes,1350000000
sawangan,2,1,52.0,84.0,yes,yes,no,yes,520000000
bojongsari,2,1,50.0,76.0,yes,yes,no,no,690000000
pancoran mas,3,2,70.0,77.0,no,no,no,no,855000000
limo,3,2,80.0,80.0,no,yes,no,yes,980000000
beji,4,4,140.0,102.0,no,yes,no,yes,1600000000
cilodong,2,2,60.0,87.0,no,no,no,no,685000000
pancoran mas,3,2,100.0,71.0,no,no,no,no,1250000000
bojongsari,3,2,75.0,84.0,yes,yes,no,no,1172500000
cimanggis,3,3,78.0,101.0,yes,yes,yes,yes,900000000
cimanggis,2,1,30.0,50.0,no,yes,no,no,385000000
bojongsari,2,1,38.0,73.0,yes,yes,no,yes,510000000
beji,3,3,120.0,92.0,no,no,no,no,1400000000
pancoran mas,3,2,75.0,85.0,no,yes,no,yes,850000000
pancoran mas,3,3,80.0,52.0,no,yes,no,yes,850000000
bojongsari,3,2,64.0,72.0,yes,yes,no,yes,1135000000
cilodong,2,1,50.0,70.0,no,no,no,no,510000000
bojongsari,3,2,72.0,65.0,yes,yes,yes,no,885000000
beji,3,2,70.0,57.0,yes,yes,yes,no,900000000
cinere,3,3,130.0,97.0,no,yes,no,yes,1495000000
cilodong,3,2,60.0,53.0,yes,yes,yes,yes,742000000
limo,3,1,72.0,90.0,no,no,no,no,550000000
sawangan,2,2,40.0,70.0,yes,no,no,yes,750000000
cimanggis,3,2,60.0,50.0,yes,no,yes,no,575000000
pancoran mas,3,2,84.0,100.0,no,no,no,no,1000000000
depok,2,1,45.0,60.0,yes,yes,no,no,485000000
cimanggis,3,2,70.0,66.0,yes,yes,yes,no,865000000
depok,3,2,84.0,64.0,yes,yes,no,no,975000000
cipayung,2,1,40.0,71.0,yes,yes,no,yes,467272500
cinere,3,2,90.0,70.0,no,no,no,no,1500000000
cilodong,2,2,50.0,72.0,no,no,no,no,735000000
beji,4,4,130.0,80.0,no,no,no,no,1525000000
cimanggis,1,1,35.0,35.0,no,no,no,no,125000000
cilodong,2,1,46.0,60.0,no,no,no,no,675000000
cimanggis,2,2,65.0,90.0,yes,yes,no,yes,900000000
tapos,3,2,72.0,60.0,yes,yes,yes,no,480000000
sawangan,2,1,36.0,50.0,yes,yes,no,no,185000000
depok,2,2,47.0,55.0,no,no,no,no,498000000
cipayung,2,1,40.0,53.0,yes,yes,yes,yes,457000000
bojongsari,2,1,48.0,110.0,no,yes,no,no,850000000
cimanggis,3,2,65.0,50.0,yes,yes,yes,yes,900000000
tapos,2,1,40.0,62.0,yes,yes,no,yes,499999999
bojongsari,2,2,45.0,105.0,yes,no,no,yes,850000000
cimanggis,3,2,107.0,80.0,no,yes,no,no,1100000000
cimanggis,3,2,70.0,53.0,no,no,no,no,585000000
bojongsari,2,2,45.0,52.0,yes,yes,yes,no,814000000
cimanggis,3,2,74.0,70.0,no,no,no,no,975000000
tapos,3,2,60.0,87.0,yes,yes,yes,no,891000000
cilodong,2,1,50.0,89.0,yes,yes,no,no,822820000
pancoran mas,3,2,92.0,55.0,yes,yes,no,no,600000000
cimanggis,3,2,60.0,33.0,yes,yes,no,no,485000000
cipayung,2,1,36.0,50.0,yes,yes,no,no,185000000
cilodong,3,2,80.0,80.0,yes,yes,no,no,950000000
pancoran mas,3,2,70.0,70.0,no,yes,no,yes,900000000
limo,3,3,155.0,84.0,yes,yes,no,no,1722000000
cilodong,3,1,45.0,84.0,no,yes,no,no,567644000
depok,3,2,79.0,90.0,no,no,no,no,1015000000
pancoran mas,3,2,96.0,93.0,yes,yes,no,no,1200000000
cipayung,2,1,40.0,60.0,yes,yes,no,yes,425000000
bojongsari,3,3,87.0,76.0,yes,yes,yes,no,1311000000
bojongsari,3,2,60.0,76.0,no,no,no,no,750000000
sukmajaya,3,3,80.0,78.0,no,no,no,no,1050000000
sawangan,2,1,42.0,84.0,no,yes,no,no,575000000
bojongsari,2,1,50.0,90.0,no,yes,no,no,700000000
sawangan,3,2,56.0,65.0,yes,yes,yes,no,695500000
cilodong,2,1,45.0,75.0,no,yes,no,yes,651000000
cilodong,2,1,31.0,60.0,no,no,no,no,400000000
pancoran mas,3,3,85.0,54.0,no,yes,no,yes,885000000
sukmajaya,2,1,48.0,78.0,yes,yes,yes,yes,680000000
pancoran mas,4,3,130.0,98.0,no,no,no,no,1410000000
pancoran mas,2,1,60.0,75.0,yes,yes,no,yes,675000000
cipayung,3,1,80.0,80.0,no,no,no,yes,365000000
sukmajaya,3,3,80.0,80.0,yes,yes,yes,yes,925000000
sawangan,2,2,40.0,50.0,yes,yes,yes,no,473000000
sukmajaya,3,3,80.0,64.0,no,no,no,yes,850000000
beji,3,1,103.0,133.0,no,no,no,no,1680000000
cilodong,3,2,80.0,101.0,no,no,no,no,1450000000
cilodong,2,1,36.0,50.0,yes,no,no,no,500000000
cimanggis,3,2,69.0,81.0,no,no,no,no,1006000000
sukmajaya,3,3,80.0,68.0,yes,yes,yes,yes,850000000
pancoran mas,3,2,70.0,75.0,no,yes,no,no,799000000
cilodong,3,2,85.0,63.0,yes,yes,no,no,750000000
pancoran mas,3,2,70.0,83.0,no,yes,no,yes,850000000
limo,3,3,90.0,60.0,yes,yes,yes,no,875000000
cilodong,3,3,80.0,79.0,yes,yes,yes,yes,985000000
cilodong,2,2,70.0,120.0,yes,yes,no,yes,789000000
bojongsari,2,2,50.0,73.0,yes,yes,yes,no,804000000
pancoran mas,3,2,100.0,73.0,no,no,no,no,1250000000
pancoran mas,3,2,61.0,118.0,yes,yes,no,no,1529200000
sawangan,2,1,54.0,125.0,yes,yes,no,yes,850000000
sawangan,2,1,36.0,70.0,yes,yes,no,yes,414000000
sawangan,2,1,45.0,84.0,yes,yes,no,yes,525000000
depok,3,2,70.0,119.0,no,yes,no,yes,800000000
cilodong,3,3,74.0,94.0,no,no,no,no,991000000
cipayung,2,1,40.0,42.0,yes,yes,no,yes,200000000
cilodong,2,1,45.0,94.0,yes,yes,no,no,669000000
cinere,3,3,75.0,96.0,yes,yes,yes,no,999000000
cilodong,2,2,40.0,68.0,no,no,no,no,559000000
sawangan,2,1,50.0,72.0,no,no,no,no,390000000
cilodong,3,1,58.0,98.0,no,no,no,no,780000000
cilodong,2,1,36.0,50.0,no,yes,no,no,275000000
beji,2,1,32.0,60.0,yes,yes,no,yes,348000000
sukmajaya,3,2,107.0,87.0,yes,no,no,no,1384800000
tapos,2,1,42.0,80.0,no,no,no,yes,450000000
cinere,4,4,110.0,84.0,no,no,no,no,1770000000
tapos,2,1,36.0,60.0,no,yes,no,no,405000000
sawangan,2,1,42.0,60.0,yes,yes,no,no,486000000
pancoran mas,2,1,45.0,68.0,no,no,no,no,600000000
cimanggis,3,2,60.0,60.0,yes,yes,no,no,770000000
depok,3,3,90.0,90.0,yes,yes,no,no,1258750000
cilodong,3,2,64.0,84.0,yes,no,no,yes,975000000
cipayung,2,1,42.0,60.0,no,no,no,no,486000000
pancoran mas,2,1,36.0,66.0,no,no,no,no,550000000
cimanggis,3,2,69.0,69.0,no,yes,no,no,800000000
sawangan,3,2,63.0,66.0,yes,no,yes,no,732101200
depok,4,4,97.0,112.0,yes,yes,yes,no,1664000000
sukmajaya,3,2,66.0,72.0,yes,yes,yes,yes,931000000
depok,3,2,60.0,102.0,no,no,no,no,650000000
pancoran mas,2,1,55.0,65.0,no,no,no,no,650000000
cilodong,3,3,80.0,78.0,yes,yes,yes,no,1050000000
cimanggis,3,2,72.0,70.0,no,no,no,no,720000000
depok,3,2,70.0,78.0,yes,yes,yes,yes,973000000
sawangan,2,1,38.0,68.0,yes,yes,no,yes,654000000
sukmajaya,2,2,55.0,55.0,yes,yes,yes,yes,600000000
cimanggis,3,2,76.0,78.0,no,yes,no,no,820000000
pancoran mas,3,2,70.0,75.0,no,yes,yes,yes,800000000
cimanggis,3,2,88.0,71.0,no,no,no,no,1382000000
cinere,3,3,98.0,70.0,no,no,no,no,1435000000
bojongsari,2,1,45.0,84.0,yes,yes,no,yes,772000000
pancoran mas,2,1,50.0,88.0,yes,yes,no,no,675000000
cimanggis,3,2,60.0,50.0,yes,yes,no,no,784000000
bojongsari,2,1,40.0,60.0,no,yes,no,no,514522000
sawangan,2,1,40.0,60.0,no,yes,no,no,300000000
pancoran mas,3,1,60.0,68.0,no,no,no,no,707000000
pancoran mas,3,2,71.0,84.0,no,yes,no,yes,820000000
beji,3,2,80.0,65.0,yes,yes,yes,no,990000000
cimanggis,3,2,69.0,89.0,no,no,no,no,1163000000
sawangan,2,2,50.0,87.0,no,no,no,no,635000000
pancoran mas,2,1,70.0,90.0,yes,yes,no,no,1080000000
cimanggis,2,1,48.0,72.0,no,no,no,no,630000000
cilodong,2,2,60.0,81.0,yes,yes,no,yes,650000000
pancoran mas,4,2,130.0,105.0,yes,yes,yes,no,1800000000
sawangan,3,2,90.0,109.0,no,no,no,no,1560000000
sawangan,3,2,120.0,72.0,no,no,no,no,1100000000
beji,2,2,50.0,54.0,yes,yes,no,no,820000000
cimanggis,2,3,78.0,98.0,yes,yes,no,no,1250000000
bojongsari,2,1,36.0,90.0,no,no,no,no,660000000
depok,3,3,75.0,80.0,no,no,no,no,950000000
cinere,4,4,130.0,90.0,no,no,no,no,1800000000
limo,4,3,110.0,84.0,yes,yes,no,no,1295000000
cilodong,3,2,46.0,60.0,yes,yes,yes,no,756000000
cimanggis,3,2,57.0,60.0,yes,yes,no,no,750000000
depok,3,2,61.0,84.0,no,no,no,no,975000000
cimanggis,2,1,61.0,90.0,yes,yes,no,no,1198000000
sawangan,2,1,38.0,70.0,no,no,no,no,513500000
limo,2,1,45.0,66.0,no,yes,no,no,551550000
bojongsari,2,2,50.0,55.0,no,no,no,no,850000000
sawangan,2,1,36.0,60.0,yes,yes,no,no,245000000
beji,3,3,110.0,82.0,no,no,no,no,1420000000
cilodong,2,1,40.0,88.0,yes,yes,no,no,699000000
cipayung,2,1,36.0,70.0,yes,yes,no,yes,265000000
sukmajaya,3,3,80.0,69.0,yes,yes,yes,yes,850000000
cimanggis,3,2,60.0,60.0,yes,yes,yes,no,800000000
cimanggis,3,2,62.0,50.0,no,no,no,no,766000000
sawangan,2,1,50.0,90.0,yes,yes,no,yes,968000000
cilodong,2,1,50.0,92.0,no,yes,no,yes,670000000
cilodong,3,3,80.0,87.0,no,yes,no,no,999000000
cinere,2,2,64.0,98.0,no,no,no,no,1546000000
sawangan,2,1,118.0,118.0,yes,yes,yes,no,799000000
cimanggis,3,2,70.0,70.0,yes,yes,yes,no,1153000000
sukmajaya,2,1,38.0,70.0,yes,yes,no,yes,390000000
cilodong,2,2,50.0,82.0,yes,yes,no,yes,685000000
pancoran mas,3,2,65.0,95.0,no,yes,no,yes,990000000
beji,2,1,90.0,111.0,no,no,no,no,830000000
tapos,2,1,40.0,63.0,no,no,no,no,486818000
cilodong,3,1,38.0,60.0,no,no,no,no,650000000
sawangan,2,1,35.0,35.0,yes,yes,no,no,175000000
pancoran mas,3,2,65.0,85.0,no,yes,no,yes,850000000
depok,2,1,36.0,60.0,no,yes,no,no,550000000
sukmajaya,3,3,90.0,98.0,no,no,no,no,999000000
sawangan,3,2,70.0,87.0,yes,yes,yes,no,671090000
depok,3,2,56.0,60.0,no,no,no,no,606000000
beji,3,3,130.0,97.0,no,no,no,no,1300000000
cimanggis,3,2,70.0,78.0,yes,no,no,no,1043000000
sawangan,2,1,30.0,50.0,no,no,no,yes,300000000
cilodong,2,2,2.0,78.0,no,no,no,no,831000000
beji,2,1,45.0,73.0,yes,no,no,yes,654500000
cilodong,3,3,80.0,81.0,no,yes,yes,yes,925000000
bojongsari,3,2,80.0,108.0,yes,yes,no,no,865000000
pancoran mas,2,1,40.0,72.0,yes,yes,no,yes,499000000
cipayung,2,1,48.0,60.0,no,no,no,no,412000000
cimanggis,3,3,128.0,119.0,yes,yes,no,no,2296200000
bojongsari,2,2,73.0,73.0,no,no,no,no,894000000
depok,3,3,70.0,78.0,yes,yes,yes,yes,980000000
pancoran mas,3,3,80.0,68.0,yes,yes,yes,yes,850000000
sawangan,2,1,37.0,56.0,yes,yes,no,yes,236000000
sawangan,3,2,70.0,90.0,yes,yes,yes,no,974000000
cimanggis,3,2,70.0,97.0,no,no,no,no,915000000
pancoran mas,2,1,44.0,68.0,no,no,no,no,725000000
cimanggis,2,1,45.0,50.0,yes,yes,yes,yes,550000000
cipayung,2,1,40.0,40.0,yes,yes,no,yes,147000000
cilodong,3,3,80.0,87.0,no,yes,no,yes,950000000
cipayung,2,1,30.0,30.0,no,no,no,no,200000000
bojongsari,2,1,40.0,61.0,no,no,no,no,444100000
sawangan,2,1,40.0,70.0,yes,yes,no,yes,350000000
pancoran mas,2,1,45.0,75.0,no,no,no,no,650000000
cinere,2,1,45.0,60.0,no,yes,no,yes,485000000
cilodong,2,1,40.0,66.0,yes,yes,no,yes,528000000
cimanggis,3,2,60.0,70.0,yes,yes,yes,yes,875000000
bojongsari,3,2,66.0,70.0,yes,yes,yes,yes,600000000
pancoran mas,2,1,40.0,72.0,yes,no,no,yes,499000000
sawangan,3,2,55.0,60.0,yes,yes,yes,yes,900000000
pancoran mas,2,2,4.0,40.0,no,yes,no,no,564000000
beji,3,1,100.0,113.0,no,no,no,no,455000000
cimanggis,2,1,45.0,60.0,yes,yes,no,no,475000000
cilodong,3,2,60.0,88.0,yes,no,no,no,743100000
cilodong,2,1,72.0,92.0,no,no,no,no,850000000
cinere,2,2,40.0,40.0,no,yes,no,yes,399000000
tapos,3,2,72.0,60.0,yes,yes,yes,yes,790000000
cinere,3,3,78.0,70.0,yes,yes,yes,yes,800000000
cilodong,3,3,69.0,78.0,no,yes,no,yes,960000000
cipayung,3,1,65.0,80.0,no,no,no,yes,650000000
tapos,2,1,36.0,60.0,no,no,no,no,380000000
cipayung,2,1,40.0,76.0,no,no,no,no,516600000
sawangan,2,1,36.0,59.0,no,no,no,no,480000000
pancoran mas,3,2,72.0,60.0,no,no,no,no,699000000
cilodong,2,1,42.0,90.0,no,no,no,no,675000000
cimanggis,3,3,67.0,54.0,no,no,no,no,766000000
sawangan,2,1,45.0,125.0,yes,yes,no,no,800000000
cilodong,3,3,80.0,82.0,no,yes,no,no,925000000
cimanggis,2,2,89.0,85.0,yes,yes,no,no,1630100000
cimanggis,3,2,77.0,60.0,no,yes,no,no,835950000
cilodong,3,3,70.0,75.0,no,yes,no,no,900000000
cilodong,2,2,46.0,40.0,no,no,no,no,481000000
sawangan,2,1,30.0,32.0,no,no,no,no,200000000
cilodong,2,1,40.0,53.0,no,no,no,no,400000000
sawangan,2,1,36.0,58.0,yes,yes,yes,yes,320000000
cimanggis,3,1,49.0,82.0,no,yes,no,no,725000000
pancoran mas,3,2,65.0,60.0,yes,yes,yes,yes,730000000
cilodong,2,1,50.0,84.0,yes,yes,no,no,679000000
bojongsari,2,1,45.0,70.0,no,yes,no,no,469800000
cipayung,2,1,30.0,41.0,no,no,no,yes,180000000
pancoran mas,2,2,45.0,90.0,yes,yes,no,no,900000000
cimanggis,2,2,50.0,73.0,yes,yes,no,yes,735000000
cipayung,2,1,38.0,38.0,no,no,no,no,250000000
pancoran mas,2,1,40.0,60.0,no,yes,no,yes,450000000
cimanggis,2,2,51.0,66.0,no,no,no,no,859250000
depok,2,2,46.0,60.0,yes,yes,no,no,677000000
