lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
bojongsari,2,1,90.0,108.0,yes,yes,no,no,859000000
bojongsari,3,3,97.0,112.0,yes,yes,no,no,1664000000
pancoran mas,3,2,75.0,95.0,no,yes,no,yes,785000000
cilodong,2,2,40.0,47.0,no,no,no,no,497000000
cimanggis,3,2,60.0,52.0,no,no,no,no,595000000
sukmajaya,3,3,100.0,89.0,yes,yes,yes,yes,1100000000
cilodong,3,3,120.0,86.0,yes,yes,yes,yes,1050000000
cilodong,2,2,40.0,40.0,yes,no,no,no,300000000
sawangan,2,1,90.0,50.0,no,no,no,no,949000000
sukmajaya,3,3,150.0,106.0,yes,yes,yes,no,1800000000
cilodong,3,3,80.0,75.0,yes,yes,yes,yes,915000000
sawangan,2,1,45.0,60.0,no,no,no,no,500000000
cimanggis,3,2,56.0,63.0,no,yes,no,no,600000000
cipayung,2,1,36.0,60.0,yes,yes,no,yes,385000000
depok,3,3,80.0,83.0,no,yes,no,no,925000000
cilodong,3,2,46.0,61.0,yes,yes,yes,no,756000000
cimanggis,3,2,88.0,48.0,no,no,yes,no,870000000
cimanggis,2,1,45.0,65.0,no,no,no,no,575000000
sukmajaya,3,3,70.0,87.0,yes,yes,yes,yes,997000000
limo,3,3,105.0,85.0,no,yes,no,no,1250000000
cimanggis,3,2,93.0,72.0,no,no,no,yes,1290000000
sawangan,2,1,36.0,55.0,yes,yes,yes,yes,290000000
limo,1,2,40.0,70.0,yes,yes,no,no,549000000
cilodong,2,1,35.0,40.0,no,no,no,no,180000000
sawangan,3,2,62.0,72.0,no,no,no,no,800000000
sukmajaya,3,2,70.0,104.0,yes,yes,no,yes,800000000
pancoran mas,2,1,50.0,71.0,no,yes,no,yes,625000000
bojongsari,2,2,51.0,72.0,yes,yes,yes,no,887000000
sukmajaya,3,3,80.0,71.0,yes,yes,yes,yes,915000000
cimanggis,3,2,65.0,90.0,yes,yes,no,yes,900000000
bojongsari,3,3,87.0,89.0,yes,yes,yes,no,1386000000
cipayung,2,1,40.0,84.0,no,no,no,no,630000000
cilodong,3,2,65.0,119.0,no,yes,yes,yes,800000000
limo,3,2,105.0,95.0,yes,yes,yes,yes,1500000000
sukmajaya,3,2,61.0,71.0,no,yes,no,no,890000000
cilodong,2,1,40.0,56.0,no,no,no,no,532000000
sawangan,2,1,36.0,69.0,yes,yes,no,no,400000000
sukmajaya,3,2,66.0,70.0,yes,yes,yes,no,921000000
bojongsari,2,1,40.0,70.0,no,no,no,no,465000000
sukmajaya,2,2,42.0,23.0,no,no,no,no,255000000
sawangan,2,1,39.0,63.0,no,no,no,no,435000000
sawangan,3,2,70.0,67.0,no,no,no,no,786000000
cimanggis,3,2,77.0,60.0,yes,yes,no,no,840000000
sawangan,2,1,50.0,70.0,no,yes,no,no,450000000
cimanggis,3,2,54.0,70.0,yes,no,no,no,769000000
cinere,3,2,100.0,95.0,no,yes,yes,yes,950000000
cilodong,2,1,48.0,72.0,yes,no,no,no,599000000
pancoran mas,3,2,61.0,87.0,yes,yes,yes,no,1256400000
