rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_luas_lahan,rumah_lahan_parkir,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_AC,rumah_taman,rumah_keamanan,rumah_kolam_renang,rumah_balcony,rumah_jumlah_lantai,rumah_fully_furnished
https://www.lamudi.co.id/hunian-asri-kota-depok-nuansa-bali-modern-15-menit-166106926361.html,"Hunian Asri Kota Depok Konsep Bali Modern, 15 Menit ke Tol Desari & Tol Jorr 2","Sawangan, Depok",Rp 804.000.000,68,,3,2,56,yes,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-siap-huni-dekat-polsek-beji.html,Rumah Siap Huni Dekat Polsek Beji,"Jln raya beji kukusan Depok Jawa barat Beji, Depok",Rp 1.650.000.000,150,2,3,3,120,,,,,,,
https://www.lamudi.co.id/rumah-mewah-kawasan-millenial-depok-dekat-stasiun-depok.html,Rumah Mewah Kawasan Millenial Depok dekat Stasiun Depok,"Pancoran Mas, Depok",Rp 600.000.000,84,,2,1,48,,yes,yes,,,,
https://www.lamudi.co.id/rumah-2-lantai-dekat-tol-sawangan-desari-dan-cinere.html,Rumah 2 lantai dekat tol sawangan desari dan cinere,"Cinangka, Depok",Rp 765.000.000,85,,3,2,56,yes,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-dijual-murah-jarak-8-menit-ke-stasiun-di-pan-166039335799.html,Rumah cluster siap huni jarak 6 menit ke stasiun di Pancoran mas Depok,"Pancoran Mas, Depok",Rp 550.000.000,72,,2,1,45,,yes,,,,,
https://www.lamudi.co.id/jual-cepat-rumah-ready-luas-75m-setifikat-shm-bonu-16695279889.html,"JUAL CEPAT Rumah Ready Luas 75m, Setifikat SHM + Bonus Pagar.","Cipayung, Depok",Rp 275.000.000,75,,2,1,45,,,,,,,
https://www.lamudi.co.id/rumah-di-jual-area-depok-dekat-pintu-tol-dan-mrt-166036707211.html,Rumah Di Jual Area Depok Dekat Pintu Tol Dan MRT,"Jln Abdul Wahab Sawangan, Depok",Rp 900.000.000,70,1,3,3,78,yes,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-300-jtan-8-menit-ke-pintu-toll-1.html,"Rumah 300 Jt'An, 8 Menit Ke Pintu Toll","Sawangan, Depok",Rp 350.000.000,56,,2,1,45,,,,,,1,
https://www.lamudi.co.id/nik204-new-cluster-ada-1lt-2lt-strategis-free-biay-166843912916.html,"Nik204.New Cluster ada 1Lt,2Lt Strategis Free Biaya Pdk Rajek-Depok","Perbatasan Pondok Rajeg dan Kalimulya Depok Kalimulya, Depok",Rp 650.000.000,75,1,3,2,60,,,,,,,
https://www.lamudi.co.id/5jt-bisa-punya-rumah.html,5jt Bisa Punya Rumah,"Sawangan, Depok",Rp 485.000.000,45,,2,1,45,,yes,,,,,
https://www.lamudi.co.id/404-rumah-layak-huni-hrg-di-bawah-pasaran-cepat-dgn-tanah-luas-hoek.html,404.Rumah layak huni hrg di bawah pasaran cepat dgn tanah luas hoek,"Pondok Petir Depok Pondok Petir, Depok",Rp 750.000.000,125,1,3,2,80,,,,,,,
https://www.lamudi.co.id/rumah-dekat-akses-toll-depok-disegn-indah-harga-ra-166366295373.html,RUMAH DEKAT AKSES TOLL DEPOK_DISEGN INDAH HARGA RAMAH,"Sawangan, Depok",Rp 350.000.000,60,,2,1,38,,yes,yes,,,,
https://www.lamudi.co.id/rumah-2-lt-mewah-dgn-konsep-kota-mandiri-di-atas-lapangan-golf-view-danau-di-depok.html,Rumah 2 lt Mewah di atas lapangan golf view Danau di Depok,"Bojongsari, Depok",Rp 2.200.000.000,160,,3,3,109,,yes,,yes,,,
https://www.lamudi.co.id/rumah-dekat-stasiun-krl-1.html,Rumah dekat Stasiun KRL,"Citayam, Depok",Rp 340.000.000,,,2,1,27,,,,,,,
https://www.lamudi.co.id/rumah-siap-huni-5-jt-lsg-akad.html,Rumah siap huni 5 jt lsg akad,"Jln raya serua Serua, Depok",Rp 850.000.000,105,1,2,2,45,yes,,yes,,,,
https://www.lamudi.co.id/rumah-di-kawasan-bojonggede-depok-lb-36-lt-72-350-166743958474.html,RUMAH DI KAWASAN SAWANGAN DEPOK LB 36/LT 72 375 JT CASH ONLY PROMO,"JL.H SULAIMAN RT 03 RW 08, BEDAHAN,DEPOK JAWA BARAT Bedahan, Depok",Rp 350.000.000,72,1,2,1,36,yes,yes,yes,,,,
https://www.lamudi.co.id/rumah-mewah-syariah-depok-beji.html,"Rumah Mewah Syariah, Depok Beji","Beji, Depok",Rp 1.150.000.000,82,,3,2,102,,,,,,,
https://www.lamudi.co.id/rumahdepok-dekat-stasiun-depok-alun-alun-dp0.html,#rumahdepok-dekat-stasiun-depok-alun-alun-DP0%,"jalan raya GDC Sukamaju, Depok",Rp 800.000.000,70,1,3,2,60,yes,yes,yes,yes,,,
https://www.lamudi.co.id/rumah-dekat-jakarta-selaga-dp-hny-15-juta-dan-free-biaya-lokasi-cakep.html,Rumah dekat Jakarta Selaga Dp hny 15 juta dan free biaya lokasi cakep,"Cinangka sawangan depok Cinangka, Depok",Rp 604.569.500,1,1,2,1,38,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-harga-all-in-lokasi-tengah-kota-dep-166635586517.html,Rumah 2 lantai harga all in lokasi tengah kota Depok,"Jalan Tole Iskandar, Depok 16475, Indonesia Sukmajaya, Depok",Rp 570.000.000,40,1,2,2,50,,,,,,,
https://www.lamudi.co.id/rumah-baru-siap-huni-haga-cash-bisa-kpr-akses-jala-167202660331.html,"rumah baru siap huni. haga cash, Bisa KPR, akses jalan besar citayam","Jalan Raya Citayam, Depok 16445, Indonesia Beji, Depok",Rp 247.000.000,60,,2,1,36,yes,,,,,,
https://www.lamudi.co.id/grand-kamila-165922349229.html,GRAND KAMILA THE BEST HOME FOR YOUR BELOVED FAMILY,Depok,Rp 975.000.000,64,1,3,2,84,,yes,yes,,,,
https://www.lamudi.co.id/rumahminimalisdepok-dua-lantai-bata-merah-dp-0.html,#RUMAHMINIMALISDEPOK dua lantai bata merah DP 0%,"jalan mandor samin Cilodong, Depok",Rp 685.000.000,61,,3,2,54,yes,yes,yes,,yes,,
https://www.lamudi.co.id/rumahmurah-depok-dekat-stasiun-depok-cicilan-3-juta-an.html,#rumahmurah-depok-dekat-stasiun-depok- cicilan 3 juta-an,"jalan raya pitara Pancoran Mas, Depok",Rp 450.000.000,65,1,2,1,40,yes,yes,yes,,,,
https://www.lamudi.co.id/rumah-modern-2-lantai-tanpa-dp.html,Rumah modern 2 lantai tanpa DP,"Sukmajaya, Depok",Rp 875.000.000,75,,3,3,80,,yes,,,yes,,
https://www.lamudi.co.id/rumah-di-jual-di-depok-taman-anyelir-3.html,Rumah di jual di Depok Taman Anyelir 3,"Taman Anyelir 3 Kalimulya, Depok",Rp 990.000.000,72,,3,2,120,yes,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-scandinavian-mewah-dekat-stasiun-toll-dan-ka-165839087252.html,"Rumah Scandinavian mewah dekat stasiun, Toll dan kampus UI, Depok","Margonda, Depok",Rp 995.000.000,72,,3,2,75,,yes,,,,,
https://www.lamudi.co.id/rumah-murah-depok-166856654071.html,rumah murah depok,"Cipayung, Depok",Rp 195.000.000,40,,2,1,30,,,yes,,,,
https://www.lamudi.co.id/rumah-murah-di-belakang-rs-bunda-margonda-166125087896.html,Rumah Murah di Belakang RS Bunda Margonda,"Pondok Cina, Depok",Rp 750.000.000,107,,4,2,90,,,,,,,
https://www.lamudi.co.id/rumah-murah-bisa-kpr-via-bank-dekat-tol-sawangan-d-166039332415.html,Rumah murah bisa KPR via Bank dekat Tol Sawangan Depok,"Sawangan, Depok",Rp 485.000.000,60,,2,1,45,,yes,,,,,
https://www.lamudi.co.id/rumah-murah-banget-166821206330.html,rumah murah banget,"Cipayung, Depok",Rp 180.000.000,40,,2,1,30,,,yes,,,,
https://www.lamudi.co.id/dijual-rumah-huni-luas-harga-murah-ready-stock-sis-165993581647.html,Dijual Rumah Huni Luas Harga Murah Ready Stock Sisa 1 Unit di Pancoran Mas Depok,"Jalan Rapika, Rangkapan Jaya Baru, Pancoran Mas Pancoran Mas, Depok",Rp 680.000.000,129,1,3,2,82,yes,yes,,,,,
https://www.lamudi.co.id/rumah-mewah-berkonsep-minimalis-deket-stasiun-depok-lama.html,Rumah Mewah Berkonsep Minimalis Deket Stasiun Depok Lama,"GDC depok Depok, Depok",Rp 500.000.000,81,1,3,2,42,,yes,yes,,,,
https://www.lamudi.co.id/rumah-2-lantai-dekat-kampus-ui.html,Rumah 2 lantai dekat kampus UI,"Beji kampus UI Kukusan, Depok",Rp 900.000.000,60,,3,2,70,yes,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-di-depok-3-kamar-tidur-luas-dan-murah-7-meni-165936536778.html,Rumah 3 kamar tidur tanah luas dan murah 7 menit ke pintu tol Depok,"Pancoran Mas, Depok",Rp 765.000.000,87,1,3,2,85,,,,,,,
https://www.lamudi.co.id/rumah-ready-stok-dp-allin-3-juta-lokasi-strategis-dekat-kota-wisata-depok.html,Rumah ready stok DP allin 3 juta lokasi strategis dekat kota wisata depok,"Indonesia, Depok, Jalan Raya Pasir Putih Pasir Putih, Depok",Rp 465.000.000,81,1,2,1,36,,yes,yes,,,,
https://www.lamudi.co.id/rumah-murah-minimalis-mutiara-citayam-dekat-stasiun-citayam-4.html,Rumah Murah Minimalis MUTIARA CITAYAM Dekat Stasiun Citayam,"jl.kp bambon , ragajaya , citayam-depok Beji, Depok",Rp 420.000.000,66,1,2,1,40,,yes,yes,,,,
https://www.lamudi.co.id/rumahminimalis-cinere-dekat-ke-jakarta-selatan.html,#rumahminimalis -cinere dekat ke jakarta selatan,"jalan raya krukut Krukut, Depok",Rp 1.400.000.000,70,2,3,3,90,yes,yes,yes,yes,,,
https://www.lamudi.co.id/rumah-murah-di-pamulang-166366292710.html,jual rumah murah di pamulang,"Bojongsari, Depok",Rp 420.000.000,60,,2,1,55,,,,,,,
https://www.lamudi.co.id/2-lt-harga-495jt-167194678135.html,2 Lt harga 495jt,"Kalimulya, Depok",Rp 495.000.000,72,,4,2,66,,yes,yes,yes,,,
https://www.lamudi.co.id/dp-25-juta-saja-rumah-syariah-depok-dekat-sekolah-167223508874.html,"DP 25 Juta Saja, Rumah Syariah Depok Dekat Sekolah Sunnah","Sawangan, Depok",Rp 442.250.000,42,,2,1,39,,,yes,,,,
https://www.lamudi.co.id/rumah-deket-tol-desari-166891099169.html,Rumah deket Tol Desari All in 4 jt an,"Pancoran Mas, Depok",Rp 780.000.000,90,,3,2,70,,,yes,,,,
https://www.lamudi.co.id/rumah-2lantai-mewah-cukup-4jt-all-in-166832136018.html,Rumah 2lantai mewah cukup 4JT All in,"Cilodong, Depok",Rp 915.000.000,90,,3,3,80,yes,yes,,,yes,,
https://www.lamudi.co.id/hunian-baru-untuk-keluarga-baru-16697643506.html,Hunian baru untuk keluarga baru,"Sukmajaya, Depok",Rp 275.000.000,25,,2,2,42,,,,,,,
https://www.lamudi.co.id/dijual-rumah-mewah-1-lantai-16715873354.html,Dijual Rumah Mewah 1 Lantai,"Jalan Kapitan & Jalan Raya Gas Alam, Depok 16453, Indonesia Cimanggis, Depok",Rp 550.000.000,50,1,2,1,45,yes,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-ready-dekat-pintu-tol-cijago-cibubur-harjamu-167171720952.html,Rumah Ready Dekat Pintu Tol Cijago Cibubur Harjamukti Cimanggis Depok,"Cimanggis, Depok",Rp 1.342.000.000,78,,3,3,110,,,,,,2,
https://www.lamudi.co.id/dijual-rumah-secondary-termurah-di-cinere-selatan-jakarta.html,DIJUAL RUMAH SECONDARY TERMURAH DI CINERE SELATAN JAKARTA,"Cinere, Depok",Rp 1.650.000.000,150,1,3,2,230,yes,yes,yes,,yes,2,
https://www.lamudi.co.id/rumah-termurah-siap-huni-didepok-166815651950.html,Rumah Termurah siap huni didepok,"Sukmajaya, Depok",Rp 670.000.000,90,,2,1,40,yes,yes,,,,,
https://www.lamudi.co.id/rumah-kebun-siap-huni-rasa-vila-tempat-strategis-d-167032670689.html,"Rumah Kebun siap huni rasa vila, tempat strategis dekat dengan pasar","Jalan Batu, Depok 16521, Indonesia Sawangan, Depok",Rp 20.000.000.000,3300,3,6,6,372,,yes,,,,,
https://www.lamudi.co.id/rumah-dekat-stasiun-depok-harga-400-jutaan-166039333267.html,Rumah dekat stasiun Depok harga 400 jutaan,"Pancoran Mas, Depok",Rp 499.000.000,40,,3,2,45,,yes,,,,,
https://www.lamudi.co.id/rumah-murah-cicilan-3-jutaan-tanpa-dp-4.html,RUMAH MURAH CICILAN 3 JUTAAN TANPA DP,"JL.H HUSIN KALIMULYA KOTA DEPOK Depok, Depok",Rp 550.000.000,68,1,2,1,45,yes,yes,yes,,,1,
