rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_AC,rumah_taman,rumah_keamanan,rumah_balcony,rumah_fully_furnished,rumah_kolam_renang
https://www.lamudi.co.id/rumah-syariah-siap-huni-di-depok-166821058559.html,Rumah syariah siap huni di Depok,"Jl. H. Sulaiman, Bedahan, Kec. Sawangan, Kota Depok Sawangan, Depok",Rp 275.000.000,2,1,30,60,,,,,,,,
https://www.lamudi.co.id/non-bi-ceking-pamulang-sawangan.html,"non bi ceking, pamulang, sawangan","Sawangan, Depok",Rp 365.000.000,2,1,36,60,,,,,,,,
https://www.lamudi.co.id/cluster-nahara-tipe-5-cimanggis-golf-estate-166306693316.html,Cluster Nahara Tipe 5 – Cimanggis Golf Estate,"Jl. Cimanggis Boulevard, Tapos, Depok",Rp 1.630.100.000,2,2,89,85,1,2,,yes,yes,,,yes
https://www.lamudi.co.id/rumah-perumahan-2-lnatai-5-mnt-dari-toll-cimanggis-166727438341.html,"Cluster mewah 2 lnatai 5 MNT dari Toll Cimanggis cukup DP 2JT, harga mulai 800JT","Jl. Pekapuran, Curug, Kec. Cimanggis, Kota Depok, Jawa Barat 15151, Curug, Kec. Cimanggis, Kota Depok, Jawa Barat 16340 Cimanggis, Depok",Rp 887.250.000,2,2,51,72,72,2,,yes,yes,,Tidak,
https://www.lamudi.co.id/scandinavian-amanta-pondok-cabe-166088124152.html,Rumah 2 Lantai Strategis Tanpa DP di Cinangka Pondok Cabe,"Akses masuk dari Modern Hill Pondok Cabe Cinangka, Depok",Rp 800.000.000,3,2,62,72,2,2,,,,,,
https://www.lamudi.co.id/prestige-sawangan-tipe-36-166450019861.html,Prestige Sawangan Tipe 36,"Jl. Jati, RT.03/rw04, Sawangan Baru, Pancoran Mas, Depok",Rp 460.000.000,2,1,36,682,1,,,,yes,,Tidak,
https://www.lamudi.co.id/rumah-kpr-pribadi-citayam-16720216459.html,Rumah KPR pribadi citayam,"Citayam, Depok",Rp 250.000.000,2,1,38,38,,,,,,,,
https://www.lamudi.co.id/dijual-rumah-siap-huni-akses-dekat-stasiun-cash-da-167206347383.html,Dijual Rumah Siap Huni Akses Dekat Stasiun Cash dan KPR di pabuaran,"jl raya pabuaran, pabuaran depag kab bogor Depok, Depok",Rp 150.000.000,2,1,33,34,,,,,,,,
https://www.lamudi.co.id/rumah-citayam-bojonggede-167179946559.html,rumah Citayam bojonggede,"Citayam, Depok",Rp 230.000.000,2,1,35,50,,,,,,,,
https://www.lamudi.co.id/perumahan-di-kalimulya-depok-166211252072.html,Hunian Dengan Konsep Nuansa Bali Di Kalimulya Depok,"Jalan Raya Kalimulya, Bogor Kabupaten 16913, Indonesia Cilodong, Depok",Rp 550.000.000,2,1,42,78,2,1,yes,yes,yes,,,
https://www.lamudi.co.id/rumah-tropis-di-cinangka-165969739478.html,Rumah Tropis di Cinangka,"Jl.Kona 2 no.88, Kel.Cinangka, Kec.Sawangan, Kota Depok Cinangka, Depok",Rp 2.300.000.000,6,4,185,416,4,,yes,yes,,yes,,
https://www.lamudi.co.id/rumah-2-lantai-cluster-gaya-bali-kalimulya-cilodong-depok.html,Rumah 2 Lantai Cluster Gaya Bali Kalimulya Cilodong Depok,"Jalan Kencana Kalimulya Cilodong, Depok",Rp 690.000.000,3,2,60,60,2,2,,yes,yes,,,
https://www.lamudi.co.id/rumah-bergaya-klasik-eropa-167169359687.html,rumah bergaya klasik Eropa,Cimanggis Depok,Rp 800.000.000,3,2,60,60,,,,yes,yes,yes,,
https://www.lamudi.co.id/lelang-rumah-2-lt-depok-jawa-barat-166779011775.html,"Lelang Rumah 2 Lt Limo, Depok Jawa Barat","Limo, Depok",Rp 600.000.000,3,1,80,274,1,,,,,yes,,
https://www.lamudi.co.id/dijual-rumah-perumahan-cluster-cibubur-tol-cijago-cimanggis-depok.html,DIJUAL RUMAH 2 LANTAI DI TAPOS CILANGKAP DEPOK 5 MENIT KE TOL CIMANGGIS DEPOK,"Jalan Cilangkap & Jalan Raya Bogor, Depok 16465, Indonesia Cilangkap, Depok",Rp 700.000.000,2,1,69,61,1,2,,yes,yes,yes,,
