"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_fully_furnished","rumah_luas_bangunan","rumah_AC","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_jumlah_lantai"
"https://www.lamudi.co.id/rumah-mewah-dalam-cluster-mewah-siap-huni-cinere.html","Rumah Mewah Dalam Cluster Mewah Siap Huni Cinere","Depok, Depok","Rp 3.500.000.000","365","","5","4","","","","","","","",""
"https://www.lamudi.co.id/villa-aurora-bali-kelapa-dua-perumahan-dengan-konsep-villa-nan-asri.html","Villa Aurora Bali Kelapa Dua Perumahan Dengan Konsep Villa nan Asri","Tugu, Depok","Rp 750.000.000","54","1","2","2","","68","yes","yes","","","yes","2"
"https://www.lamudi.co.id/rumah-murah-di-cibubur-13.html","Rumah Murah Di Cibubur","Tapos, Depok","Rp 940.000.000","82","1","4","4","","70","","","yes","","yes",""
"https://www.lamudi.co.id/dijual-rumah-luas-siap-huni-full-rfenovasi-tipe-70-90-citra-indah-city.html","Dijual Rumah 2 Lantai di Raffles Hills Cibubur TSM Cibubur (C511AM)","Raffles Hills Harjamukti, Depok","Rp 1.250.000.000","98","","2","3","","78","","yes","yes","yes","","2"
"https://www.lamudi.co.id/rumah-2-lantai-cluster-eksklusif-sukmajaya-depok-harga-all-in.html","RUMAH 2 LANTAI CLUSTER EKSKLUSIF SUKMAJAYA DEPOK , HARGA ALL IN","Tirtajaya Sukmajaya Depok Sukmajaya, Depok","Rp 887.250.000","66","1","3","2","","66","","yes","yes","","yes",""
"https://www.lamudi.co.id/rumah-cluster-2-lantai-mewah-dekat-gunadarma-ui-166626999593.html","Rumah Cluster 2 Lantai Mewah Dekat Gunadarma UI","Jalan Akses UI, Depok, Indonesia Tugu, Depok","Rp 870.000.000","48","","3","2","","88","","","","","yes",""
"https://www.lamudi.co.id/437-cluster-semi-furnish-murah-dlm-komp-reni-jaya-16626497288.html","437.Cluster semi furnish Murah dlm komp Reni Jaya Only Cash di Depok","Pondok Petir Depok Pondok Petir, Depok","Rp 345.000.000","30","","1","1","","30","","","","","",""
"https://www.lamudi.co.id/rumah-murah-dalam-cluster-di-perbatasan-kalimulya-166449024780.html","Rumah Murah Dalam Cluster di Perbatasan Kalimulya Pondok Rajeg Depok","Kalimulya Pondok Rajeg Kalimulya, Depok","Rp 466.000.000","68","1","2","1","","36","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-ready-depok-bonus-canopy-atau-ac-166228145229.html","Rumah Depok Sawangan","Sawangan, Depok","Rp 486.000.000","60","1","2","1","","42","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-ready-stock-di-depok-harga-all-in-165950939165.html","Rumah 2 Lantai Ready Stock di Depok Harga All in","Jl. Kampung Cilangkap Depok Cilangkap, Depok","Rp 680.000.000","62","","2","2","","64","","yes","yes","","yes",""
