"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_kolam_renang","rumah_balcony","rumah_keamanan","rumah_lahan_parkir","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/bojongsari-cluster-ekslusif-banyak-fasilitas-167281479367.html","Bojongsari, cluster ekslusif banyak fasilitas","Pancoran Mas, Depok","Rp 1.000.000.000","3","2","75","70","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/beji-rumah-jalan-kaki-ke-kampus-ui-167281477319.html","Beji, rumah jalan kaki ke kampus UI","Beji, Depok","Rp 1.290.000.000","3","2","100","70","yes","yes","","","","","",""
"https://www.lamudi.co.id/cinangka-rumah-lokasi-strategis-tanpa-dp-167281478938.html","Cinangka, rumah lokasi strategis tanpa dp","Pancoran Mas, Depok","Rp 590.000.000","3","2","60","50","yes","yes","","","","","",""
"https://www.lamudi.co.id/cilodong-tanpa-dp-rumah-ready-pindah-koper-167281478229.html","Cilodong, tanpa dp rumah ready pindah koper","Pancoran Mas, Depok","Rp 820.000.000","3","2","71","84","yes","yes","","","","","",""
"https://www.lamudi.co.id/meruyung-rumah-ready-stock-3-menit-ke-masjid-kubah-167281478858.html","Meruyung, rumah ready Stock 3 menit ke masjid kubah mas","Pancoran Mas, Depok","Rp 800.000.000","2","1","55","70","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-deket-tol-desari-167281485250.html","Pancoran mas, Rumah deket tol Desari.","Pancoran Mas, Depok","Rp 725.000.000","2","1","50","70","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-deket-tol-aksesnya-bikin-kecantol-16728148441.html","Rumah Deket tol aksesnya bikin kecantol","Pancoran Mas, Depok","Rp 885.000.000","3","2","85","54","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-siap-di-huni-tanpa-dp-16728148464.html","Sawangan, rumah siap di huni tanpa dp","Pancoran Mas, Depok","Rp 525.000.000","2","1","45","60","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-dekat-stasiun-citayam-akses-2-mobil-167281485143.html","Sawangan, rumah dekat stasiun Citayam akses 2 mobil","Pancoran Mas, Depok","Rp 350.000.000","2","1","45","60","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-dekat-jakarta-selatan-167281475871.html","Rumah mewah 2 lantai dekat Jakarta selatan","Cinere, Depok","Rp 1.495.000.000","3","3","130","97","yes","yes","","","","","",""
