"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_keamanan","rumah_lahan_parkir","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-siap-huni-tanpa-dp-0-166867691974.html","Rumah siap Huni Tanpa DP 0%","Cilodong, Depok","Rp 670.000.000","2","1","45","90","yes","yes","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-tanpa-dp-0-166875511663.html","Dijual Rumah Siap Huni Tanpa DP 0%","Cilodong, Depok","Rp 1.050.000.000","3","3","120","86","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-mewah-siap-huni-tanpa-dp-166875617417.html","Rumah mewah siap huni Tanpa DP","Sukmajaya, Depok","Rp 1.050.000.000","3","3","120","86","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-mewah-siap-huni-depok-tanpa-dp-16692798307.html","Dijual Rumah mewah siap huni depok Tanpa DP","Kalimulya, Depok","Rp 925.000.000","3","3","80","81","yes","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-50meter-dari-jalan-raya-166987786183.html","Rumah Tanpa DP, 50meter dari jalan raya","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-2lantai-mewah-di-samping-alun-167029624381.html","Rumah 2Lantai mewah di Samping Alun","Cilodong, Depok","Rp 1.100.000.000","3","3","75","116","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-1lantai-tanpa-dp-167039391244.html","dijual rumah 1Lantai Tanpa DP","Cilodong, Depok","Rp 710.000.000","2","2","55","82","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-2lantai-mewah-tanpa-dp-16712456762.html","Rumah 2lantai mewah Tanpa DP","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-2lantai-tanpa-ready-siap-huni-167133308835.html","Rumah 2Lantai Tanpa Ready siap huni","Cilodong, Depok","Rp 900.000.000","3","3","85","75","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-pinggir-jalan-raya-mewah-tanpa-dp-167152955686.html","Rumah pinggir jalan raya mewah Tanpa DP","Cilodong, Depok","Rp 950.000.000","3","3","80","80","yes","yes","yes","","yes","","",""
