"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_AC","rumah_kolam_renang","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-dijual-murah-siap-huni-di-jatijajar-depok-166570214693.html","Rumah Dijual Murah Siap Huni di Jatijajar Depok","Jalan Perumahan Jatijajar, Depok 16466, Indonesia Tapos, Depok","Rp 1.000.000.000","140","","3","2","140","","","","","","",""
"https://www.lamudi.co.id/rumah-cicilan-flat-tanpa-dp-banyak-gratisnya-166678756465.html","rumah cicilan flat tanpa dp banyak gratisnya","Depok, Depok","Rp 350.000.000","60","","2","1","40","","","","yes","yes","",""
"https://www.lamudi.co.id/dp-0-gratis-semua-biaya-kpr-yuk-survey.html","DP 0% GRATIS SEMUA BIAYA KPR YUK SURVEY","JL.AR RAHMAN KALIBARU CILODONG KOTA DEPOK Beji, Depok","Rp 885.000.000","76","1","3","2","80","yes","yes","yes","yes","yes","2",""
"https://www.lamudi.co.id/rumah-hommy-di-shila-sawangan-dgn-konsep-taman-di-dalamnya.html","Rumah hommy di Shila sawangan dgn konsep taman di dalamnya","jl raya sawangan depok Sawangan, Depok","Rp 2.000.000.000","144","2","4","4","184","yes","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-murah-2-lantai-dekat-toll-cijago-dan-cibubur-166011952822.html","Rumah Murah 2 lantai dekat Toll Cijago dan Cibubur","Cimanggis, Depok","Rp 770.000.000","60","","3","2","72","yes","","","yes","","",""
"https://www.lamudi.co.id/hunian-mewah-ready-dekat-stasiun-depok.html","Hunian Mewah Ready Dekat Stasiun Depok","Jln Raya boulevrd depok Depok Jaya, Depok","Rp 950.000.000","95","1","3","3","100","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-di-depok-166460698654.html","Rumah minimalis di depok","Rangkapan Jaya Baru, Depok","Rp 485.150.000","70","","2","1","40","yes","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-mewah-di-cinere-depok-jawa-barat-166609927528.html","Rumah Mewah di Cinere Depok Jawa Barat","Jalan Cinere Depok Jawa Barat Cinere, Depok","Rp 8.800.000.000","400","4","7","7","700","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-murah-depok-166756015047.html","Rumah Murah Depok","Rangkapan Jaya, Depok","Rp 450.000.000","72","2","2","1","45","yes","","","yes","yes","1",""
"https://www.lamudi.co.id/rumah-murah-depok-166814555560.html","rumah murah depok","Cipayung, Depok","Rp 185.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/rumah-cantik-harga-menarik-166756795332.html","rumah cantik harga menarik","Cipayung, Depok","Rp 200.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-banget-166814580774.html","rumah murah banget","Cipayung, Depok","Rp 185.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-2lt-dp-0-cicilan-mulai-5-jutaan.html","Rumah MEWAH 2LT DP 0% Cicilan Mulai 5 Jutaan","Pancoran Mas, Depok","Rp 799.000.000","74","","3","2","70","","","","yes","","",""
"https://www.lamudi.co.id/harga-promo-rumah-mewah-shm-lokasi-bebas-banjir-16654537829.html","harga promo rumah mewah shm lokasi bebas banjir","Pancoran Mas, Depok","Rp 600.000.000","55","","3","2","92","","","","yes","yes","",""
"https://www.lamudi.co.id/jual-rumah-cash-dan-kpr-167069011281.html","jual rumah cash dan kpr","Sawangan, Depok","Rp 250.000.000","65","","2","1","50","","","","","","",""
"https://www.lamudi.co.id/rumah-second-975jt-di-komplek-bdn-sawangan-depok.html","Rumah second 975jt di komplek BDN sawangan Depok","Komplek BDN sawangan Sawangan, Depok","Rp 975.000.000","90","1","4","2","190","","","yes","yes","yes","2",""
"https://www.lamudi.co.id/hunian-strategis-500-jutaan-siap-huni-seberang-tol-sawangan-pancoran-mas-3.html","Hunian Strategis 500 Jutaan Siap Huni, Seberang Tol Sawangan - Pancoran Mas","Tanah Baru, Depok","Rp 551.550.000","66","1","2","1","45","","","","yes","","",""
"https://www.lamudi.co.id/op-new-modern-house-japan-hrg-mulai-800-jt-an-free-166865722658.html","Op.New Modern House Japan Hrg Mulai 800 Jt-an Free Biaya di Cinangka","Cinangka - Pondok Cabe Depok Cinangka, Depok","Rp 887.300.000","70","1","3","2","72","","","","","","",""
"https://www.lamudi.co.id/perumahan-permata-cimanggis.html","Perumahan Permata Cimanggis","Cimanggis, Depok","Rp 689.554.000","72","2","2","1","36","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-2-lantai-skandinavian-modern-di-depok-16681615990.html","DIJUAL RUMAH 2 LANTAI SKANDINAVIAN MODERN DI DEPOK","Cilangkap Tapos Cilangkap, Depok","Rp 885.000.000","62","2","3","2","74","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dekat-tol-sawangan.html","Rumah 2 Lantai Dekat Tol Sawangan","Pancoran Mas, Depok","Rp 1.200.000.000","50","","2","2","58","","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-minimalis-model-bali-cimanggis-depok-gratis-165908129428.html","RUMAH MINIMALIS MODEL BALI CIMANGGIS DEPOK GRATIS BIAYA BIAYA","Cimanggis, Depok","Rp 486.000.000","63","","2","1","40","","","","yes","","",""
