"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_AC","rumah_keamanan","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-termewah-sudah-shm-dan-imb-bisa-kpr-syari-ah-167175905578.html","rumah termewah sudah SHM dan IMB bisa KPR syari'ah","jalan hj sulaiman, bedahan, sawangan depok Sawangan, Depok","Rp 330.000.000","55","","2","1","38","yes","","yes","","1","",""
"https://www.lamudi.co.id/dijual-rumah-strategis-kawasan-grand-depok-city.html","Dijual Rumah Strategis Kawasan Grand Depok City","Jl. Boulevard Grand Depok City Jl. Ruko Anggrek 1 No.21, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia Depok, Depok","Rp 720.000.000","36","1","3","2","65","yes","","yes","","","",""
"https://www.lamudi.co.id/rumah-second-full-furnish-ada-taman-dpn-belakang-carport-luas-di-depok.html","Rumah second full furnish ada taman dpn belakang carport luas di Depok","Tapos Depok Tapos, Depok","Rp 1.900.000.000","120","1","4","4","98","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-di-depok-hanya-boking-4-juta-all-i-166762251232.html","rumah siap huni di depok hanya boking 4 juta all in","Cilodong, Depok","Rp 650.000.000","80","","2","2","50","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-2lt-siap-huni-dekat-ke-ui-tol-desa-166377623413.html","RUMAH MINIMALIS 2LT SIAP HUNI DEKAT KE UI, TOL DESARI & ST.DEPOK.","Tanah Baru, Depok","Rp 950.000.000","62","","3","3","105","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-di-sawangan-dp-5-juta-langsung-akad-2-lantai-golden-estesia.html","Rumah di sawangan DP 5 juta langsung akad 2 lantai (golden estesia)","Jl.serua raya No.56 RT.03/06 serua Bojong sari depok Sawangan, Depok","Rp 1.135.000.000","72","1","3","2","64","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/cluster-skandinavia-dp-3-juta-dekat-gdc-depok.html","Cluster skandinavia Dp 3 Juta dekat gdc depok.","Cilodong, Depok","Rp 650.000.000","60","","3","2","66","","","","","","",""
"https://www.lamudi.co.id/rumah-di-taman-manggis-indah-jual-cepat-166919075567.html","RYDRumah di taman manggis indah jual cepat","Jl. Tole iskandat Sukamaju, Depok","Rp 600.000.000","120","1","5","2","150","","","","","","",""
"https://www.lamudi.co.id/hunian-nyaman-asri-tanpa-dp-0-siap-huni-166755982467.html","hunian nyaman & asri tanpa DP 0% siap huni","Sawangan, Depok","Rp 750.000.000","70","","2","2","40","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-murah-di-depok-dekat-stasiun-di-kalimulya-ci-166039330015.html","Rumah murah di Depok dekat stasiun di Kalimulya Cilodong","Cilodong, Depok","Rp 651.000.000","75","","2","1","45","yes","yes","","","","",""
