"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/br944-cluster-112m-di-abdl-gani-cilodong-depok-sia-166599261367.html","BR944 Cluster 112m di Abdl Gani Cilodong Depok siap huni","Jalan Abdul Gani Cilodong Depok Cilodong, Depok","Rp 890.000.000","112","1","2","1","60","","","","","","",""
"https://www.lamudi.co.id/br926-perumahan-siap-huni-lokasi-harjamukti-cimang-166599474366.html","BR926 Perumahan siap huni lokasi Harjamukti, Cimanggis Depok","Raya Alternatif Cibubur, Harjamukti, Cimanggis Depok Cimanggis, Depok","Rp 2.900.000.000","198","1","5","4","240","","","","","","",""
"https://www.lamudi.co.id/br891-perumahan-2-lantai-di-depok-timur-depan-sukm-166624563590.html","BR891 Perumahan 2 lantai di depok timur depan sukmajaya","Sukmajaya Depok Timur Depan Sukmajaya, Depok","Rp 1.665.000.000","114","1","4","4","140","","","","","","",""
"https://www.lamudi.co.id/br917-rumah-2-lt-di-pinggir-jl-boulevard-grand-dep-166624852295.html","BR917 Rumah 2 Lt di pinggir Jl boulevard Grand Depok City","Jl. Boulevard Grand Depok City Cilodong, Depok","Rp 1.650.000.000","105","1","5","3","140","","","","","","",""
"https://www.lamudi.co.id/chalista-residence-2-dekat-gdc-shm-4-jutaan-perbul-166625045889.html","Chalista Residence 2, dekat GDC, SHM, 4 Jutaan perbulan.","Perumahan Chalista Residence 2, Jatimulya Cilodong Depok Cilodong, Depok","Rp 690.000.000","80","1","2","1","45","","","","","","",""
"https://www.lamudi.co.id/perumahan-mewah-chalista-residence-5-jt-per-bln-fr-16669328979.html","Perumahan mewah Chalista Residence 5 Jt per bln Free biaya surat","Perumahan Chalista Residence 2, Jatimulya Cilodong Depok Cilodong, Depok","Rp 690.000.000","80","1","2","1","45","","","","","","",""
"https://www.lamudi.co.id/br928-perumahan-2-lantai-di-kalimulya-depok-akses-166745131375.html","BR928 Perumahan 2 lantai di Kalimulya Depok akses mobil luas Lokas118m","Kalimulya Depok Cilodong, Depok","Rp 1.450.000.000","118","1","3","2","94","","","","","","",""
"https://www.lamudi.co.id/chalista-residence-5-mnt-dari-grand-depok-city-alu-166745152016.html","Chalista Residence 5 Mnt dari Grand Depok City, Alun-alun Kota Depok.","Perumahan Chalista Residence 2, Jatimulya Cilodong Depok Cilodong, Depok","Rp 950.000.000","80","1","3","2","80","","","","","","",""
"https://www.lamudi.co.id/br984-perumahan-2-lantai-kawasan-elite-cimanggis-l-167063972559.html","BR984 Perumahan 2 lantai kawasan Elite cimanggis luas 180m2","Leuwinangung Bojong Nangka Cimanggis Depok Cimanggis, Depok","Rp 1.900.000.000","180","2","4","4","200","","","","","","",""
"https://www.lamudi.co.id/br989-rumah-siap-huni-di-taman-anyelir-kalimulya-c-167100720530.html","BR989 Rumah siap huni di Taman Anyelir Kalimulya Cilodong luas 72m","Perumahan Taman Anyelir Kalimulya Depok Cilodong, Depok","Rp 560.000.000","72","1","2","1","45","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-cibubur-diapit-3-gerbang-tol.html","RUMAH SIAP HUNI CIBUBUR - DIAPIT 3 GERBANG TOL","Leuwinanggung Tapos, Depok","Rp 540.000.000","73","1","2","1","45","yes","yes","","","","1",""
"https://www.lamudi.co.id/rumah-idaman-milenial-di-lokasi-terkenal-166767025065.html","Rumah Idaman Milenial di lokasi Terkenal","Cimanggis Cimanggis, Depok","Rp 740.000.000","55","","3","2","64","","","","","","",""
"https://www.lamudi.co.id/modal-2-jt-punya-rumah-minimalis-cicilan-2-jtan-166615991921.html","Modal 2 jt punya rumah minimalis cicilan 2 jtan","Sawangan, Depok","Rp 348.000.000","72","","2","1","36","yes","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-sudah-shm-bogor-cukup-booking-2-jt-all-in-166691342845.html","Rumah Sudah SHM bogor cukup booking 2 jt all in","Sawangan, Depok","Rp 348.000.000","72","","2","1","36","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-modern-pertama-di-depok.html","Rumah minimalis modern di depok","Jl. Raya pondok petir Bojongsari, Depok","Rp 917.500.000","84","1","2","1","45","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2lt-nan-mewah-sekarang-ada-di-daerah-depok-lho.html","Rumah 2 lantai siap huni dekat Jakarta Selatan","Bojongsari, Depok","Rp 1.222.500.000","84","1","3","2","75","yes","yes","yes","","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-16663196674.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.454.000.000","98","6","3","3","87","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166649746177.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.382.000.000","89","6","3","3","87","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166719569328.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 650.000.000","44","3","2","2","45","yes","yes","yes","yes","","",""
