"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_lahan_parkir","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/099-rumah-2lantai-dlm-cluster-hrg-ekonomis-area-pdk-cabe-hny-800jutaan.html","099.Rumah 2lantai dlm cluster hrg ekonomis area pdk cabe hny 800Jutaan","Parakan, Cinangka sawangan (perbatasan pondok cabe Tangsel) Cinangka, Depok","Rp 859.000.000","2","2","60","84","1","","","","","","",""
"https://www.lamudi.co.id/rumah-strategis-asri-minimalis-pesona-sakinah-di-d-165923278473.html","Rumah Strategis Asri Minimalis Pesona Sakinah di Depok : Tipe 49/82","Jl. Masjid Baiturrahmah Perumahan Pesona Sakinah No.11 , RT 008/001 Mekarsari Cimanggis Depok Mekarsari, Depok","Rp 725.000.000","3","1","49","82","1","yes","","","","","",""
"https://www.lamudi.co.id/cicilan-3-jutaan-ready-dp-0-166201418921.html","CICILAN 3 JUTAAN READY DP 0%","Beji, Depok","Rp 550.000.000","2","1","45","68","1","yes","yes","","","yes","1",""
"https://www.lamudi.co.id/for-sale-rumah-dalam-cluster-di-gandul-cinere-depo-166617162663.html","For Sale Rumah Dalam Cluster di Gandul Cinere Depok","Gandul, Depok","Rp 1.900.000.000","3","3","140","118","2","","","","","","",""
"https://www.lamudi.co.id/cukup-5-jt-all-in-dapat-rumah-mewah-kawasan-gdc-depok-2-lantai.html","5 JT All In Dapat Rumah Mewah 2 Lantai Kawasan GDC Depok 2 Lantai","Jl Tirta - Depok (Kawasan GDC) Sukmajaya, Depok","Rp 995.000.000","3","2","70","72","","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-siap-huni-3-5-lt-bisa-buat-kolam-renang-tol-cijago-5-ment-kelapa-2-depok.html","Rumah Siap Huni 3,5 Lt,Bisa buat Kolam Renang,TOL Cijago 5 Ment,Kelapa 2 Depok","Kelapa Dua, Depok","Rp 3.250.000.000","4","4","450","310","4","yes","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-baru-dekat-pintu-tol-beji.html","Rumah Baru Dekat Pintu Tol Beji","Jl.Sekasih Matoa Golf Tanah Baru, Depok","Rp 1.380.000.000","3","3","120","66","1","","","","","yes","",""
"https://www.lamudi.co.id/rumah-2-lantai-proses-mudah-hemat-biaya-biaya-di-depok.html","RUMAH 2 LANTAI PROSES MUDAH HEMAT BIAYA BIAYA DI DEPOK","Depok, Depok","Rp 1.100.000.000","3","2","100","85","","yes","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166683751733.html","Hunian 2 Lantai dengan model Tropical Resort","Jl Raya Curug No 30 Depok","Rp 1.425.000.000","3","3","73","113","5","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/kaze-living-panggulan-pengasinan-depok.html","KAZE LIVING PANGGULAN PENGASINAN DEPOK","Pengasinan, Depok","Rp 520.000.000","2","1","38","60","","","","","","","",""
"https://www.lamudi.co.id/op64-rumah-modern-milenial-smart-home-2-lt-hrg-ter-166774264449.html","Op64.Rumah Modern Milenial Smart Home 2 Lt Hrg Terjangkau Strategis","Cinangka Sawangan Depok Cinangka, Depok","Rp 926.000.000","3","2","60","60","1","","","","","","",""
"https://www.lamudi.co.id/promo-spesial-maret-kpr-tanpa-dp-5-juta-all-in-bojongsari-depok.html","Promo Spesial Maret KPR Tanpa DP, 5 juta All in, Bojongsari Depok","Jalan Cemara 3 Duren Seribu, Bojongsari Depok Bojongsari, Depok","Rp 475.000.000","2","1","40","82","","yes","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-di-depok-dekat-tol-cimanggis-dan-podomoro.html","Rumah di Depok dekat tol cimanggis dan podomoro","Cimanggis, Depok","Rp 1.398.000.000","3","2","100","120","2","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-2-lt-full-kaca-scandinavian-nempel-ui-stasiun-dan-toll-kukusan.html","Rumah 2 lt Full kaca Scandinavian nempel UI, Stasiun dan Toll Kukusan","Beji, Depok","Rp 995.000.000","3","2","75","74","","","","","","","","Tidak"
"https://www.lamudi.co.id/rumah-2-lantai-pancoran-mas-dekat-tol.html","Rumah 2 lantai Pancoran mas dekat tol","Rangkapan Jaya, Depok","Rp 800.000.000","3","2","70","72","","yes","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-secondery-2-lantai-di-jatijajar-depok.html","Rumah Secondery 2 Lantai Di Jatijajar Depok","Jatijajar Cimanggis, Depok","Rp 1.300.000.000","4","2","175","105","1","","","","","","2","Tidak"
"https://www.lamudi.co.id/rumah-siap-huni-tanpa-dp-deket-stasiun-depok-lama.html","Rumah Siap Huni Tanpa DP Deket Stasiun Depok Lama","Depok, Depok","Rp 430.000.000","2","1","30","60","","yes","yes","","","","","Tidak"
"https://www.lamudi.co.id/rumah-cluster-limo-dekat-pintu-tol-limo-cinere-sem-166738969997.html","Rumah Cluster Limo Dekat Pintu Tol Limo Cinere Semi Furnished","Cinere, Depok","Rp 2.600.000.000","2","3","150","113","","","","yes","","","",""
"https://www.lamudi.co.id/cluster-eksklusif-3-lantai-selangkah-dari-pintu-tol-krukut-depok.html","Cluster Eksklusif 3 Lantai Selangkah Dari Pintu Tol Krukut Depok","Jl. Raya Krukut Limo, Depok","Rp 1.700.000.000","3","3","155","84","","yes","yes","","yes","","",""
"https://www.lamudi.co.id/townhouse-syariah-dalam-komplek-bumi-sawangan-inda-166643589526.html","Townhouse Syariah dalam Komplek Bumi Sawangan Indah","Bumi Sawangan Indah II, Depok, Indonesia Sawangan, Depok","Rp 625.000.000","2","2","50","65","","yes","","","","","",""
"https://www.lamudi.co.id/op64-rumah-modern-milenial-smart-home-2-lt-hrg-ter-166774368283.html","Op64.Rumah Modern Milenial Smart Home 2 Lt Hrg Terjangkau Strategis","Cinangka sawangan Depok Cinangka, Depok","Rp 926.000.000","3","2","60","60","1","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-lokasi-strategis-yaman-asri-bebas-165841825099.html","rumah siap huni lokasi strategis Yaman & asri bebas banjir","Sawangan, Depok","Rp 300.000.000","2","1","36","60","","","","","","","",""
"https://www.lamudi.co.id/master-residence-kalimulya-depok.html","Master Residence Kalimulya Depok","Jl. Kalimulya III, Depok Cilodong, Depok","Rp 489.000.000","2","1","40","84","1","yes","","","","yes","1",""
"https://www.lamudi.co.id/rumah-murah-dengan-bangunan-2-lantai-depok.html","Rumah Murah Dengan Bangunan 2 Lantai Depok","Jalan Raden Saleh Depok Jawa barat Sukmajaya, Depok","Rp 800.000.000","3","2","65","102","2","","","","","","",""
