rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_fully_furnished,rumah_keamanan,rumah_kolam_renang,rumah_taman,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_balcony,rumah_AC
https://www.lamudi.co.id/dp-0-800-jutaan-hunian-mewah-cinere-depok-16651415608.html,DP 0% 800 Jutaan Hunian Mewah CINERE DEPOK,"Cinere, Depok",Rp 890.000.000,3,2,88,105,Tidak,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-harga-1-lantai-16709430612.html,RUMAH 2 LANTAI HARGA 1 LANTAI DEKAT TOL CIMANGGIS,"Jl. Raya Banjaran Pucung, Cilangkap Tapos Depok Tapos, Depok",Rp 400.000.000,2,2,50,42,,yes,,yes,,,yes,
https://www.lamudi.co.id/cluster-premium-2-lantai-type-65-harga-700-jtan-di-167177830123.html,Cluster Premium 2 Lantai Type 65 Harga 700 Jtan di Selatan Jakarta,"Jalan. Abdul Wahab Cinangka Kedaung Sawangan Depok Sawangan, Depok",Rp 754.615.210,3,2,63,70,,yes,,yes,2,,yes,yes
https://www.lamudi.co.id/rumah-mewah-2-lantai-free-custom-desain-harga-terj-167195689772.html,Rumah Mewah 2 Lantai Free Custom Desain Harga Terjangkau Di Depok,"Jalan Pertiwi Raya (Komplek Bappenas) Kedaung Cinangka Sawangan Depok Sawangan, Depok",Rp 715.498.000,3,2,64,67,,yes,yes,yes,2,,yes,yes
https://www.lamudi.co.id/dsamara-residence-depok-harga-murah.html,D'samara residence Depok Harga Murah,"Cilodong, Depok",Rp 455.000.000,2,2,45,40,,yes,,yes,1,,yes,
https://www.lamudi.co.id/cluster-cartenz-rangkapan-jaya-900-meter-dari-exit-tol-sawangan.html,Cluster Cartenz Rangkapan Jaya - 500 Meter dari Exit Tol Sawangan,"Jalan Adhi Karya Rangkapan Jaya Baru, Depok",Rp 811.000.000,3,2,70,72,,,,,,,,
https://www.lamudi.co.id/rumah-mewah-murah-eksklusif-2-lt-dipusat-kota-depo-166004026654.html,RUMAH PREMIUM AKSES KERETA DEKAT TOL DESARI EKSKLUSIF 2 LT DI KOTA DEPOK,"Jalan Raya Sawangan, Depok, Indonesia Sawangan, Depok",Rp 1.600.000.000,4,3,250,168,,yes,,yes,,2,,yes
https://www.lamudi.co.id/rumah-2-lantai-di-radar-auri-cibubur-16716905142.html,"Rumah 2 lantai di radar auri, cibubur","Kp. Padurenan Depok rt 05 rw 01 Cimanggis, Depok",Rp 885.000.000,3,2,72,65,,yes,,yes,2,2,yes,
https://www.lamudi.co.id/dijual-rumah-ready-depok-harga-400jutaan-16720648375.html,Dijual Rumah Baru Ready Depok Lb.42/Lt.87,"Cilangkap, Depok",Rp 499.000.000,2,1,87,87,,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-harga-paling-terjangkau-di-depok.html,Rumah 2 Lantai Harga Paling Terjangkau di Depok,"Jl. Pertiwi Raya (Komp. Bappenas) Cinangka, RT02/RW07 Kedaung, Sawangan Depok Sawangan, Depok",Rp 1.121.000.000,3,2,72,121,,yes,yes,yes,2,,yes,yes
