"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_keamanan","rumah_lahan_parkir","rumah_kolam_renang","rumah_taman","rumah_balcony","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-depok-cilodong-gdc-stasiundepok-cicilan-3jutaan.html","#rumah-depok-cilodong-GDC-stasiunDepok-cicilan 3jutaan","jalan raya kalimulya Cilodong, Depok","Rp 400.000.000","2","1","45","55","yes","yes","1","","yes","","",""
"https://www.lamudi.co.id/cinere-indah-residence-rumah-second-terawat-dekat-166496673175.html","cinere indah residence, rumah second terawat dekat enterance gate tol brigif","jl bukit cinere raya Gandul, Depok","Rp 1.700.000.000","2","2","90","103","","","1","","","","",""
"https://www.lamudi.co.id/p198-hunian-minimalis-lokasi-strategis-dkt-stasiun-166800784227.html","P198.Hunian minimalis lokasi strategis Dkt Stasiun Depok di Kalimulya","Kalimulya Depok Kalimulya, Depok","Rp 600.000.000","2","1","42","62","","","1","","","","",""
"https://www.lamudi.co.id/dijual-cepat-rumah-hitung-tanah-6.html","Dijual Cepat Rumah Hitung Tanah","Depok Jaya, Depok","Rp 1.300.000.000","3","1","70","212","","","1","","","","",""
"https://www.lamudi.co.id/rumah-syariah-cimanggis-390-juta-kpr-non-bank.html","#rumah-syariah-cimanggis-390 juta kpr non bank","jalan radar auri Cimanggis, Depok","Rp 390.000.000","2","1","31","51","yes","yes","1","","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-cantik-siap-huni-bukit-golf-riverside-cimanggis.html","Dijual Rumah Cantik Siap Huni Bukit Golf Riverside Cimanggis","Bukit Golf Riverside Cimanggis, Depok","Rp 950.000.000","3","2","95","113","","","1","","","","2",""
"https://www.lamudi.co.id/rumah-dekat-stasiun-depok-dalam-cluster.html","Rumah DEKAT STASIUN DEPOK Dalam Cluster","Cipayung, Depok","Rp 450.000.000","2","1","36","70","","","","","yes","","",""
"https://www.lamudi.co.id/cluster-impian-keluarga-cash-dan-kpr-tanpa-dp.html","Cluster Impian Keluarga Cash dan KPR tanpa DP","Sawangan, Depok","Rp 480.000.000","2","1","45","64","","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-nuansa-bali-paling-murah-di-kawasan-cimanggis-depok.html","Rumah nuansa Bali paling murah di kawasan Cimanggis Depok","Cimanggis Depok Cimanggis, Depok","Rp 545.000.000","2","1","36","63","","","1","","","","",""
"https://www.lamudi.co.id/rumah-murah-perbatasan-pamulang-lokasi-strategis.html","RUMAH Murah PERBATASAN Pamulang Lokasi Strategis","Bojongsari, Depok","Rp 225.000.000","1","1","24","24","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-murah-daerah-bojongsari-depok-tanpa-dp-dan-free-all-in.html","DIJUAL RUMAH MURAH DAERAH BOJONGSARI DEPOK (TANPA DP DAN FREE ALL IN)","jln. bulak serua raya pondok petir kec.bojongsari kota.depok Bojongsari, Depok","Rp 659.000.000","2","1","40","84","yes","yes","1","yes","yes","","1",""
"https://www.lamudi.co.id/rumah-2-lantai-cluster-pinggir-jalan-2-arah-cimang-165901257834.html","RUMAH 2 LANTAI CLUSTER PINGGIR JALAN 2 ARAH CIMANGGIS DEPOK","Cimanggis, Depok","Rp 867.250.000","2","2","51","72","","yes","1","","yes","yes","",""
"https://www.lamudi.co.id/rumah-minimalis-depok-tangsel-dekat-jalan-provinsi-16691300817.html","Rumah Minimalis.Depok.Tangsel.Dekat jalan provinsi/mall/transport umum","Bojongsari, Depok","Rp 551.000.000","2","1","49","70","","","15","","","","",""
"https://www.lamudi.co.id/rumah-dijual-via-lelang-cash-only-16722990483.html","rumah dijual via lelang. cash only","Cinere, Depok","Rp 2.000.000.000","3","2","151","150","","","","","yes","","",""
"https://www.lamudi.co.id/rumah-di-cilodong-dekat-gdc-166710637270.html","Rumah di Cilodong, dekat GDC","Cilodong, dekat GDC, Depok, Jabodetabek Cilodong, Depok","Rp 373.000.000","2","2","36","36","","","","","","","",""
"https://www.lamudi.co.id/2lantai-mewah-di-dekat-cibubur-166875277267.html","2LANTAI MEWAH DI DEKAT CIBUBUR","Cimanggis, Depok","Rp 985.000.000","3","2","84","72","","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-posisi-hook-hommy-terawat-siap-huni-di-tapos-166393031425.html","Rumah posisi hook hommy, terawat siap huni di Tapos Depok -8826- DR","Tapos, Depok","Rp 1.750.000.000","4","3","220","161","yes","","","","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-siap-huni-tanpa-dp-167012964820.html","RUMAH 2 LANTAI SIAP HUNI TANPA DP","jl.kav iip kalimulya kota depok Cimanggis, Depok","Rp 895.000.000","3","2","870","73","yes","yes","1","","yes","","2",""
"https://www.lamudi.co.id/rumah-dijual-di-sukmajaya-depok-dalam-komplek-tana-166652758412.html","rumah dijual di Sukmajaya depok- dalam komplek tanah lebih luas","Jalan Raden Saleh I, Depok 16412, Indonesia Sukmajaya, Depok","Rp 1.300.000.000","2","1","130","170","","","2","","","","",""
"https://www.lamudi.co.id/perumahn-patung-gajah-depok-167157317313.html","perumahn patung gajah depok","Cipayung, Depok","Rp 210.000.000","2","1","30","40","yes","","","","","","",""
"https://www.lamudi.co.id/cluster-mewah-one-gate-system-di-dekat-cibubur-jak-167163515621.html","CLUSTER MEWAH ONE GATE SISTEM DI DEKAT CIBUBUR JAKARTA TIMUR","Cimanggis, Depok","Rp 500.000.000","3","2","65","70","","yes","","","yes","","",""
"https://www.lamudi.co.id/br972-perumahan-elite-grand-depok-city-5-menit-ke-166599852466.html","BR972 Perumahan elite Grand Depok City 5 menit ke stasiun Depok Lama","Perumahan Grand Depok City Sukmajaya, Depok","Rp 920.000.000","2","1","38","90","","","1","","","","",""
"https://www.lamudi.co.id/brand-new-house-dalam-komplek-besar-di-area-strate-167245705795.html","Brand New House Dalam Komplek Besar Di Area Strategis Cinere Depok","Cinere, Depok","Rp 2.600.000.000","4","4","170","110","yes","yes","2","yes","yes","yes","",""
"https://www.lamudi.co.id/p201-hunian-2lantai-modern-tropis-hrg-mulai-900jt-166800583550.html","P201.Hunian 2Lantai modern Tropis Hrg Mulai 900Jt-an Promo Free biaya","Jatimulya CIlodong Depok Jatimulya, Depok","Rp 1.013.547.924","3","2","70","66","","","1","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-2lt-siap-huni-dekat-ke-kampus-ui-t-166373986095.html","RUMAH MINIMALIS 2 lantai SIAP HUNI DEKAT KE KAMPUS UI, TOL DESARI & ST.DEPOK","Tanah Baru, Depok","Rp 865.000.000","3","2","70","60","","yes","","","","yes","",""
"https://www.lamudi.co.id/br846-rumah-2-lantai-kondisi-40-cluster-anggrek-gr-166598749617.html","BR846 Rumah 2 lantai kondisi 40% Cluster Anggrek Grand Depok City","Perumahan Grand Depok City Sukmajaya, Depok","Rp 2.200.000.000","4","3","300","300","","","2","","","","",""
"https://www.lamudi.co.id/ad203-new-cluster-2-lantai-akses-jln-2-mobil-di-me-16673498687.html","Ad203.New Cluster 2 Lantai Akses Jln 2 mobil di Mekarsari Cimanggis","Mekarsari Cimanggis Depok Mekarsari, Depok","Rp 853.000.000","2","2","54","72","","","1","","","","",""
"https://www.lamudi.co.id/rumah-murah-minimalis-di-depok-jakarta-selatan-dp-166389477753.html","Rumah Murah Minimalis Di Depok Jakarta selatan DP 0%","Depok, Depok","Rp 697.000.000","3","2","60","68","yes","","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-baru-cluster-desain-modern-mampang-pancoran-166627847535.html","Rumah Baru Cluster Desain Modern Mampang Pancoran Mas Depok","Pancoran Mas, Depok","Rp 908.000.000","2","1","40","85","","","","","yes","","1",""
"https://www.lamudi.co.id/dijual-rumah-baru-classic-modern-luxury-16722990638.html","DIJUAL RUMAH BARU CLASSIC MODERN LUXURY","Cinere, Depok","Rp 2.500.000.000","4","4","170","110","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-di-depok-16669355639.html","Dijual Rumah di Depok","Cilodong, Depok, JABODETABEK, Indonesia Cilodong, Depok","Rp 372.000.000","2","2","36","36","","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-di-depok-angsuran-3-jutaan-dekat-pintu-165965335721.html","Rumah nyaman murah di Depok angsuran 3 jutaan dekat Pintu Tol Sawangan","Jalan Pasir putih Sawangan Depok Sawangan, Depok","Rp 485.000.000","2","1","45","78","yes","","1","","yes","","",""
"https://www.lamudi.co.id/mewah-menawan-harga-murah-167115021425.html","MEWAH MENAWAN HARGA MURAH","Cimanggis, Depok","Rp 475.000.000","2","1","45","60","","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-2lantai-mewah-didepok-166728842073.html","rumah 2lantai mewah didepok","Cimanggis, Depok","Rp 850.000.000","3","3","80","60","yes","yes","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-cantik-harga-menarik-167033199855.html","rumah cantik harga menarik","Cipayung Jaya, Depok","Rp 195.000.000","2","1","30","40","yes","","","","","","",""
"https://www.lamudi.co.id/rumah-cantik-2-lantai-lokasi-strategis-bebas-banji-166053856887.html","Rumah dijual di cimanggis Rumah Cantik Lokasi Strategis Bebas Banjir","Amara Residence Sawangan Cimanggis, Depok","Rp 1.100.000.000","4","3","101","91","yes","yes","2","","yes","yes","2",""
"https://www.lamudi.co.id/luxury-home-mewah-dijual-cepat-di-cimanggis-depok-166824849817.html","Luxury Home Mewah Dijual Cepat Di Cimanggis Depok","Jalan Pekapuran, Depok 16453, Indonesia Cimanggis, Depok","Rp 1.500.000.000","4","2","228","163","","","1","","","","",""
"https://www.lamudi.co.id/hunian-mewah-2lantai-di-dekat-tol-cimanggis-166746312491.html","Hunian Mewah 2LANTAI DI dekat tol cimanggis","Cimanggis, Depok","Rp 485.000.000","3","2","60","33","","yes","","","yes","","",""
"https://www.lamudi.co.id/br974-rumah-cluster-asri-di-cilodong-dekat-gdc-lua-166599813665.html","BR974 Rumah cluster asri di cilodong dekat GDC luas 122m","Mandor samin Cilodong Depok Cilodong, Depok","Rp 420.000.000","2","1","75","122","","","1","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-harga-400jt-an-paling-murah-sekota-167203768982.html","Rumah 2 Lantai Harga 400jt-an Paling Murah Sekota Depok","Jalan Raya Pengasinan, Depok 16518, Indonesia Sawangan, Depok","Rp 494.000.000","3","2","44","60","yes","","1","","","","",""
"https://www.lamudi.co.id/hunian-1-lantai-design-calsic-tanpa-dp-0-166801528977.html","Hunian 1 lantai design calsic tanpa DP 0%","Depok, Depok","Rp 825.000.000","3","2","65","104","yes","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-dijual-di-depok-timur-dalam-perumahan-16722990643.html","rumah dijual di Depok Timur, dalam perumahan","Sukmajaya, Depok","Rp 1.100.000.000","2","1","100","95","","","","","","","",""
"https://www.lamudi.co.id/br949-perumahan-luas-140m-siap-huni-di-jl-raya-kem-166556769196.html","BR949 Perumahan luas 140m siap huni di Jl. Raya Kemang Sukmajaya Depok","Perumahan Kemang Swatama Cilodong Depok Sukmajaya, Depok","Rp 1.380.000.000","4","3","200","140","","","1","","","","",""
"https://www.lamudi.co.id/s02-rumah-2-lt-konsep-kontemporer-milenial-cuma-bo-166739801442.html","S02.Rumah 2 Lt Konsep Kontemporer Milenial Cuma Booking 5 Juta Akad","Curug Bojongsari Depok Bojongsari, Depok","Rp 850.000.000","2","2","50","55","","","1","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-di-cluster-luas-di-sukmajaya-depok-165901260438.html","RUMAH MINIMALIS DI CLUSTER LUAS DI SUKMAJAYA DEPOK, BEBAS PAJAK","Jl Raden Saleh Sukmajaya, Depok","Rp 645.000.000","2","1","48","72","","yes","2","","yes","","",""
"https://www.lamudi.co.id/rumah-minimalis-lb-36-lt-72-166727974344.html","DI Jual Rumah di Sawangan Depok, Rumah Minimalis, 36/72 300 Jt an","JL.H SULAIMAN RT 03 RW 08 BEDAHAN DEPOK JAWA BARAT Bedahan, Depok","Rp 395.000.000","2","1","36","72","yes","yes","1","","yes","","",""
"https://www.lamudi.co.id/bedahan-terrace-rumah-minimalis-1-lantai-lokasi-depok-5menit-ke-tol-sawangan.html","Bedahan Terrace Rumah Minimalis 1 Lantai Lokasi Depok 5menit ke Tol Sawangan","Jl. Kavling Kehakiman Bedahan, Sawangan Sawangan, Depok","Rp 435.000.000","2","1","39","63","","","1","","","","",""
"https://www.lamudi.co.id/rumahdekat-tol-cimanggis-pekapuran-sukatani-promo.html","rumahdekat tol cimanggis-pekapuran-sukatani- promo","jalan raya pekapuran Cimanggis, Depok","Rp 700.000.000","3","2","56","65","yes","yes","1","","yes","yes","",""
"https://www.lamudi.co.id/rumah-murah-pinggir-jalan-kota-depok.html","Rumah Murah Pinggir jalan kota Depok","Cipayung, Depok","Rp 178.000.000","2","1","50","","","","","","","","",""
"https://www.lamudi.co.id/rumah-second-cantik-di-kelapa-dua.html","Rumah Second Cantik di Kelapa Dua","Cimanggis, Depok","Rp 975.000.000","3","2","1","110","","","","","","","","Tidak"
"https://www.lamudi.co.id/dijual-rumah-2-k-tidur-cocok-untuk-milenial-mampang-depok.html","Dijual Rumah 2 K.tidur Cocok untuk milenial, Mampang, Depok","Mampang, Depok","Rp 592.150.000","2","1","45","73","","","1","","yes","","",""
"https://www.lamudi.co.id/rumah-murah-sawangan-depok-angsuran-3-jutaan-166563744211.html","RUMAH MURAH SAWANGAN DEPOK ANGSURAN 3 JUTAAN","Kav.Kehakiman Rt. 001 Rw. 006 Kel, Bedahan, Kec. Sawangan, Kota Depok, Jawa Barat 16519 Sawangan, Depok","Rp 520.900.000","3","2","44","53","yes","yes","1","","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-harga-termurah-di-pancoran-mas-depok.html","Dijual Rumah Harga Termurah Di Pancoran Mas Depok","Jl Rangkapan Jaya Pancoran Mas, Depok","Rp 450.000.000","2","1","45","75","yes","yes","1","","yes","","1",""
"https://www.lamudi.co.id/di-jual-rumah-murah-depok-166885697150.html","Di Jual Rumah Murah Depok","Griya Telaga Permai, Depok 16465, Indonesia Cilangkap, Depok","Rp 525.000.000","2","1","50","81","","","1","","","","",""
"https://www.lamudi.co.id/hunian-spesial-desain-etnik-kekinian-dekat-pintu-t-16589106048.html","Rumah Cantik Spesial Desain Etnik Kekinian Dekat Pintu Tol Desari","Cinere, Depok","Rp 1.493.461.000","3","3","98","70","","yes","","yes","yes","","2",""
"https://www.lamudi.co.id/cluster-2-lantai-525jt-di-tapos-depok.html","Cluster 2 lantai 525jt di Tapos Depok","Tapos Tapos, Depok","Rp 525.000.000","3","2","60","40","","yes","1","","yes","yes","2",""
"https://www.lamudi.co.id/rumah-murah-2-lantai-bebas-biaya-kpr-dp-0.html","RUMAH MURAH 2 LANTAI BEBAS BIAYA KPR DP 0%","jl.palapa kalimulya kota depok Depok Jaya, Depok","Rp 750.000.000","3","2","70","60","yes","yes","1","","yes","yes","2",""
"https://www.lamudi.co.id/rumah-cimanggis-free-kolam-renang-dekat-transmart-toll-lrt-cibubur-1.html","Rumah Cluster Mewah Minimalis Dekat Transmart Toll & LRT Cibubur","Cimanggis, Depok","Rp 1.963.880.000","3","3","150","163","","yes","","","yes","","2",""
