"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_jumlah_lantai","rumah_keamanan","rumah_AC","rumah_taman","rumah_lahan_parkir","rumah_fully_furnished","rumah_balcony","rumah_kolam_renang"
"https://www.lamudi.co.id/dijual-rumah-mewah-2lantai-tanpa-dp-166746079383.html","dijual rumah mewah 2lantai Tanpa DP","Cilodong, Depok","Rp 925.000.000","3","3","80","80","","","yes","yes","","","yes",""
"https://www.lamudi.co.id/siap-huni-rumah-2lantai-tanpa-dp-166796614239.html","Siap Huni rumah 2lantai Tanpa DP","Cilodong, Depok","Rp 685.000.000","2","2","60","90","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-didepok-166804811819.html","Rumah Siap Huni didepok","Cilodong, Depok","Rp 685.000.000","2","2","60","90","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-siap-huni-166821523822.html","rumah tanpa DP siap Huni","Cilodong, Depok","Rp 925.000.000","3","3","80","80","","","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-cantik-tanpa-dp-166832427692.html","Rumah Cantik Tanpa DP","Sukmajaya, Depok","Rp 650.000.000","2","2","60","87","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-mewah-166834558255.html","Rumah Tanpa DP mewah","Cilodong, Depok","Rp 925.000.000","3","3","80","81","","","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-mewah-2lantai-samping-jalan-raya-166856711237.html","Rumah Mewah 2lantai samping jalan raya","Cilodong, Depok","Rp 1.050.000.000","3","3","120","86","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-2lantai-siap-huni-depok-tanpa-dp-166865187850.html","Rumah 2lantai Siap Huni depok Tanpa DP","Cilodong, Depok","Rp 925.000.000","3","3","80","80","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-siap-huni-didepok-tanpa-dp-166865872560.html","Rumah Siap Huni didepok Tanpa DP","Cilodong, Depok","Rp 670.000.000","2","1","45","90","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-dp-0-didepok-unit-terbatas-166867139344.html","Rumah DP 0% didepok unit terbatas","Cilodong, Depok","Rp 925.000.000","3","3","80","81","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-2lantai-mewah-didepok-166873783076.html","Rumah 2lantai mewah didepok","Kalibaru, Depok","Rp 1.050.000.000","3","3","120","86","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-2lantai-mewah-166909036146.html","Rumah 2lantai mewah","Cilodong, Depok","Rp 925.000.000","3","3","80","80","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/dijual-rumah-tanpa-dp-mewah-166928365859.html","dijual rumah Tanpa DP mewah","Cilodong, Depok","Rp 925.000.000","3","3","80","80","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/dijual-rumah-tanpa-dp-dikalimulya-depok-16694536178.html","dijual rumah Tanpa DP dikalimulya depok","Kalimulya, Depok","Rp 920.000.000","3","3","80","78","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-siap-huni-100meter-dari-jalan-raya-166964615082.html","Rumah Siap Huni 100meter dari Jalan Raya","Cilodong, Depok","Rp 685.000.000","2","2","50","82","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-1lantai-siap-huni-16697945110.html","Rumah 1Lantai Siap Huni","Cilodong, Depok","Rp 685.000.000","2","2","50","82","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-mewah-2lantai-didepok-166987798995.html","Rumah mewah 2Lantai didepok","Cilodong, Depok","Rp 925.000.000","3","3","80","80","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-siap-huni-1lantai-166997083475.html","Rumah Siap Huni 1Lantai","Cilodong, Depok","Rp 685.000.000","2","2","50","82","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-mewah-tanpa-dp-didepok-167057784166.html","Rumah mewah Tanpa DP didepok","Cilodong, Depok","Rp 900.000.000","3","3","85","75","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-ready-1lantai-tanpa-dp-167159258498.html","Rumah Ready 1Lantai Tanpa DP","Cilodong, Depok","Rp 710.000.000","2","2","50","82","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-ready-1lantai-tanpa-dp-167159258498.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-depok-mewah-tanpa-dp-167167790440.html","Rumah Siap Huni depok mewah Tanpa DP","Cilodong, Depok","Rp 950.000.000","3","3","80","80","","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/dijual-rumah-cantik-tanpa-dp-167185736963.html","dijual rumah cantik tanpa DP","Cilodong, Depok","Rp 710.000.000","2","2","50","82","","yes","yes","yes","","","",""
