"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_AC","rumah_taman","rumah_keamanan","rumah_balcony","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/jual-rumah-modern-minimalist-depok-kpr-mulai-dari-166666995923.html","Jual Rumah Modern Minimalist Depok, KPR Mulai dari 700jt DP 0%","Jalan Mandor Samin, Depok, Indonesia Cilodong, Depok","Rp 756.000.000","61","1","3","2","46","","","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-scandinavian-kpr-mulai-600jt-dp-0-dekan-tol-166676133789.html","Rumah Scandinavian KPR mulai 600jt DP 0% Dekan Tol Cijago","Jalan Mandor Samin, Depok, Indonesia Cilodong, Depok","Rp 658.000.000","61","1","3","2","46","","","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-impian-2-lantai-lokasi-strategis-kawasan-gdc-166727555234.html","Rumah Impian 2 Lantai Lokasi Strategis Kawasan GDC","Sukmajaya, Depok","Rp 770.000.000","65","2","3","2","54","","","","","","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-cilodong-depok-lokasi-strategi-166789848447.html","Jual Rumah 2 Lantai Cilodong Depok Lokasi Strategis Dekat Tol","Jalan Mandor Samin Cilodong, Depok","Rp 756.000.000","60","1","3","2","46","","","yes","yes","yes","",""
"https://www.lamudi.co.id/hadir-dengan-lokasi-terbaik-pinggir-jalan-dengan-a-166725483246.html","Hadir dengan lokasi terbaik pinggir jalan dengan akses sangat srategis","Jl. Raya Abdul Gani, Kalibaru, Kec. Cilodong, Kota Depok Cilodong, Depok","Rp 738.000.000","62","1","3","2","56","2","","yes","yes","yes","",""
"https://www.lamudi.co.id/resident-cipayung-sutera-167033231164.html","resident cipayung sutera","Cipayung, Depok","Rp 200.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/resident-cipayung-asri-167064088547.html","resident cipayung asri","Cipayung, Depok","Rp 200.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/perumahan-cipayung-depok-167157178132.html","perumahan cipayung depok","Cipayung, Depok","Rp 210.000.000","40","","2","1","30","","yes","","","","",""
"https://www.lamudi.co.id/depok-alam-resident-167157249325.html","depok alam resident","Cipayung Jaya, Depok","Rp 200.000.000","40","","2","1","30","","yes","","","","",""
"https://www.lamudi.co.id/hunian-eksklusif-terdekat-ke-stasiun-all-in-2jt-4.html","Hunian Eksklusif Terdekat Ke Stasiun All In 2jt","pasir putih, kec:sawangan-depok Sawangan, Depok","Rp 519.000.000","36","1","2","1","84","","","yes","","","",""
"https://www.lamudi.co.id/dijual-dmarco-diamond-cilodong-depok-166657177811.html","DIJUAL Dmarco Diamond, Cilodong Depok","Depok","Rp 495.000.000","72","","2","1","50","","","","","","",""
"https://www.lamudi.co.id/rumah-lokasi-strategis-166874552861.html","Rumah Lokasi Strategis","Tapos, Depok","Rp 560.000.000","72","","2","1","50","","","yes","yes","","yes",""
