"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_taman","rumah_keamanan","rumah_balcony","rumah_AC","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-dijual-di-sawangan-depok-2-lantai-kredit-tanpa-riba-bank.html","Rumah dijual di Sawangan Depok 2 lantai Kredit Tanpa Riba/Bank","Sawangan, Depok","Rp 655.000.000","71","","2","2","50","","yes","yes","","","",""
"https://www.lamudi.co.id/cluster-bojongsari-rumah-2-lantai-murah-dekat-mall-the-park-sawangan.html","Cluster Prestige Bojongsari Sawangan Rumah 2 Lantai Dekat Mall The Park Sawangan","Bojongsari Baru, Depok","Rp 630.000.000","72","1","3","2","52","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/hunian-muslim-di-kota-depok.html","Hunian Muslim di Kota Depok","Tapos, Depok","Rp 380.000.000","60","","2","1","36","1","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-exlusif-ready-dan-indent.html","Di jual rumah exlusif ready dan indent","Depok, Depok","Rp 210.000.000","30","","2","1","","","","","","","",""
"https://www.lamudi.co.id/arosa-residence-cinangka-166393879668.html","Arosa Residence Cinangka","Golf Pondok Cabe Cinangka, Depok","Rp 1.554.000.000","84","2","3","3","104","","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/rumah-siap-huni-di-perumahan-sawangan-residence-id-165864370929.html","Rumah Siap Huni di Perumahan Sawangan Residence ideal","Bojongsari, Depok","Rp 800.000.000","78","1","2","1","45","","yes","","","","",""
"https://www.lamudi.co.id/perumahan-green-ambara-gardenia-1.html","perumahan green ambara gardenia","JLN. MASJID DAARUT TAQWA Cinere, Depok","Rp 1.014.000.000","96","90","3","2","72","","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/tanpa-dp-siap-huni-rumah-cicilan-3-jutaan.html","TANPA DP SIAP HUNI RUMAH CICILAN 3 JUTAAN","JL.H HUSIN KALIMULYA KOTA DEPOK Cinere, Depok","Rp 530.000.000","66","1","2","1","45","1","yes","yes","","yes","",""
"https://www.lamudi.co.id/rumah-siap-huni-impian-keluarga-cash-dan-kpr.html","Rumah siap huni impian keluarga cash dan kpr","Depok, Depok","Rp 485.000.000","60","","2","1","45","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-dua-lantai-tanpa-dp-siap-huni-harga-satu-lantai.html","Rumah dua lantai tanpa DP siap huni harga satu lantai","Grand Depok city Depok, Depok","Rp 775.000.000","70","4","3","2","85","","","","yes","yes","",""
"https://www.lamudi.co.id/promo-rumah-2-lantai-termurah-di-kota-depok-bisa-k-166796628842.html","Promo Rumah 2 Lantai Termurah Di Kota Depok Bisa KPR DP 2 Jutaan Saja","Cinere, Depok","Rp 399.000.000","40","","2","2","40","","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-400juta-an-cicilan-3jutaan-depok-pitara-promo.html","rumah 400juta-an cicilan 3jutaan Depok-Pitara PROMO","jalan raya pitara Pancoran Mas, Depok","Rp 450.000.000","70","1","2","1","40","","yes","yes","","yes","yes",""
"https://www.lamudi.co.id/rumahdekatstasiundepok-nempel-gdc.html","#rumahdekatstasiundepok-nempel GDC","jalan mandor samin Sukmajaya, Depok","Rp 650.000.000","62","1","3","2","56","","yes","yes","yes","yes","yes",""
"https://www.lamudi.co.id/brand-new-cluster-ready-unit-di-sukmajaya-depok-banyak-bonusnya.html","brand new cluster, ready unit di sukmajaya depok banyak bonusnya","jl raden saleh Sukmajaya, Depok","Rp 870.000.000","84","2","3","2","80","","","","","","",""
"https://www.lamudi.co.id/rmh-secondary-masih-terawat-rapi-dekat-stasiun-depok.html","Rmh secondary masih terawat rapi dekat stasiun Depok","Pancoran Mas, Depok","Rp 1.400.000.000","252","2","3","2","100","","","","","","",""
"https://www.lamudi.co.id/rumah-baru-asri-harga-500-jutaan-di-limo-depok.html","Rumah baru, asri harga 500 jutaan di Limo, Depok","Limo, Depok","Rp 592.150.000","73","1","2","1","45","","yes","","","","",""
"https://www.lamudi.co.id/rumah-murah-cilodong-depok-siap-huni-design-mezani-166727475320.html","Rumah Murah Cilodong Depok Siap Huni Design Mezanine","Cilodong, Depok","Rp 650.000.000","60","1","2","1","38","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-berbahan-hcpi-di-depok.html","Rumah berbahan HCPI di depok","Jl Makmur Beji, Depok","Rp 654.500.000","73","1","2","1","45","","","yes","","yes","",""
"https://www.lamudi.co.id/dijual-rumah-pondok-cabe-full-furnished-serasa-di-villa.html","Rumah Murah di Pondok Cabe Full Furnished","Bukit Permata Indah, Cinangka, Sawangan, Depok (akses masuk lewat pondok cabe golf) Sawangan, Depok","Rp 1.599.900.000","216","15","3","2","116","","","","","","","Ya"
"https://www.lamudi.co.id/hunia-cantik-jalan-sawo-pondok-petir-kota-depok.html","Hunia cantik Jalan Sawo, Pondok Petir kota depok","Pondok Petir, Depok","Rp 845.000.000","140","","3","1","131","","","","","","",""
"https://www.lamudi.co.id/cluster-cantik-21-2-1-1m-di-tanah-baru-beji-depok.html","Cluster cantik 2½ 1,1M di tanah baru Beji Depok","Tanah baru Beji Depok Beji, Depok","Rp 1.100.000.000","70","70","3","3","140","2","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-siap-huni-500-jutaan-dinding-pre-cast-akses-tol-sawangan-pancoran-mas.html","Rumah Siap Huni 500 Jutaan, Dinding Pre-Cast, Akses Tol Sawangan - Pancoran Mas","Mampang, Depok","Rp 551.550.000","66","1","2","1","45","","yes","","","","",""
"https://www.lamudi.co.id/siap-huni-rumah-cluster-cicilan-3-jutaan-tanpa-dp-165856139914.html","SIAP HUNI RUMAH CLUSTER CICILAN 3 JUTAAN TANPA DP","JL.H HUSIN KALIMULYA KOTA DEPOK Beji, Depok","Rp 530.000.000","66","1","2","1","45","1","yes","yes","","yes","",""
"https://www.lamudi.co.id/rumah-2-lantai-modern-minimalis-bebas-banjir-dekat-dengan-pusat-perbelanjaan.html","Rumah 2 lantai Modern Minimalis Bebas Banjir dekat dengan Pusat Perbelanjaan","Tole Iskandar Depok Sukmajaya, Depok","Rp 829.750.000","2000","1","3","2","55","","yes","yes","","yes","",""
"https://www.lamudi.co.id/rumah-baru-siap-huni-dekat-pintu-tol-kukusan-beji-166107788569.html","Rumah Baru Siap Huni Dekat Pintu Tol Kukusan Beji Depok","Beji, Depok","Rp 1.300.000.000","97","","3","3","130","2","","","","","",""
"https://www.lamudi.co.id/cluster-2-lantai-dengan-fasilitas-smartphome-lengk-167124513951.html","Cluster 2 lantai dengan fasilitas smartphome lengkap di Bojongsari Depok","Bojongsari, Depok","Rp 569.320.000","53","1","2","2","40","2","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-5-menit-st-cilebut-bogor-lokasi-strategis-fr-166659768951.html","Rumah 5 Menit St. Cilebut Bogor Lokasi Strategis Free Biaya All In Gaji 6jt an b","Jl. Pendidikan No.62, Cilebut Barat., Kec. Sukaraja, Bogor, Jawa Barat 16710 Sawangan, Depok","Rp 460.000.000","86","1","2","1","36","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-3-menit-tol-cijago-cimanggis-depok-166652987379.html","Rumah 2 Lantai 3 Menit Tol Cijago Cimanggis Depok","Jl. Pekapuran No.24, RT.2/RW.6, Curug, Kec. Cimanggis, Kota Depok, Jawa Barat 16453 Cimanggis, Depok","Rp 887.000.000","72","1","2","2","51","","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-400jt-an-15-menit-tol-cisalak-2-cil-166655286888.html","Rumah 2 Lantai 400jt an 15 Menit Tol Cisalak 2 Cilodong Depok","Jl. Raya Asrama Divif 1 Kostrad, RT.001 / RW.001, Pabuaran, Cilodong, Pabuaran, Kec. Cibinong Cilodong, Depok","Rp 501.000.000","40","1","3","2","46","","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-3-menit-tol-cijago-cimanggis-depok-166653107593.html","Rumah 2 Lantai 3 Menit Tol Cijago Cimanggis Depok","Jl. Pekapuran No.24, RT.2/RW.6, Curug, Kec. Cimanggis, Kota Depok, Jawa Barat 16453 Cipayung, Depok","Rp 877.000.000","72","","2","2","51","","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-baru-2-lantai-nempel-gdc-10-menit-dekat-stas-166652614926.html","Rumah Baru 2 Lantai nempel GDC 10 menit Dekat Stasiun Depok Lama","Jl. Raya Kalimulya No.68, Kalimulya, Kec. Cilodong, Kota Depok Cimanggis, Depok","Rp 785.000.000","65","1","3","2","85","","","","","","",""
"https://www.lamudi.co.id/rumah-dengan-arsitek-nusantara-berkualitas-15-meni-166643603916.html","Rumah dengan Arsitek Nusantara berkualitas 15 menit St. Depok Baru","Jl. Raya Jemb. Serong No.17, Cipayung, Kec. Cipayung, Kota Depok Depok, Depok","Rp 443.000.000","55","1","2","1","40","","","","","","",""
"https://www.lamudi.co.id/rumah-baru-2-lantai-nempel-gdc-10-menit-dekat-stas-16665015874.html","Rumah Baru 2 Lantai nempel GDC 10 menit Dekat Stasiun Depok Lama","Jl. Raya Kalimulya No.68, Kalimulya, Kec. Cilodong, Kota Depok Cilodong, Depok","Rp 785.000.000","65","1","3","2","85","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-500-jt-an-sawangan-depok-20-menit-s-166592776112.html","Rumah 2 Lantai 500 Jt an Sawangan Depok 20 Menit St. Citayam","Jl. Raya Pengasinan No.8, RT.3/RW.3, Pengasinan, Kec. Sawangan, Kota Depok Margonda, Depok","Rp 503.000.000","50","1","2","2","40","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-400jt-an-15-menit-tol-cisalak-2-cil-166650248888.html","Rumah 2 Lantai 400jt an 15 Menit Tol Cisalak 2 Cilodong Depok","Jl. Raya Asrama Divif 1 Kostrad, RT.001 / RW.001, Pabuaran, Cilodong, Pabuaran, Kec. Cibinong, Kota Depok Cilodong, Depok","Rp 481.000.000","40","1","2","2","46","","","","","","",""
