"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_lahan_parkir","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-mewah-cluster-lake-series-tipe-mondrian-at-s-167039604362.html","Rumah Mewah Cluster Lake Series Tipe Mondrian at Sawangan Depok Jabar","Jl. Raya Bojongsari No.53, Bojongsari Lama, Kec. Bojongsari, Kota Depok, Jawa Barat 16517 Sawangan, Depok","Rp 2.300.000.000","3","3","110","98","","yes","yes","yes","","2","",""
"https://www.lamudi.co.id/eksklusif-cluster-lake-series-type-tudor-dgn-fasil-167098920648.html","Eksklusif Cluster Lake Series Type Tudor dgn Fasilitas TERSULTANNNNNN.","Jl. Raya Bojongsari No.53, Bojongsari Lama, Kec. Bojongsari, Kota Depok, Jawa Barat 16517 Sawangan, Depok","Rp 2.900.000.000","4","4","180","144","","yes","yes","yes","","2","",""
"https://www.lamudi.co.id/rumah-2-lt-modern-cimanggis-depok-700-jtan-dekat-tol-cibubur.html","RUMAH 2 LT MODERN CIMANGGIS DEPOK 700 JTAN DEKAT TOL CIBUBUR","Cimanggis, Depok","Rp 770.000.000","3","2","60","60","","yes","yes","yes","","","","Tidak"
"https://www.lamudi.co.id/rumah-minimalis-sejuk-gaya-amerika-cocok-untuk-keluarga-strategis.html","RUMAH MINIMALIS SEJUK GAYA AMERIKA COCOK UNTUK KELUARGA STRATEGIS","Harjamukti Harjamukti, Depok","Rp 770.000.000","3","2","60","60","","","yes","yes","","","","Tidak"
"https://www.lamudi.co.id/banjaran-village-depok-tapos-166893767526.html","Banjaran Village Depok Tapos","Depok, Depok","Rp 1.150.000.000","4","2","100","120","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/455-rumah-2-lantai-konsep-maroko-mediterania-dp-10-166571371616.html","455.Rumah 2 Lantai konsep Maroko Mediterania Dp 10 jt akad Free biaya","Parakan, Cinangka sawangan (perbatasan pondok cabe Tangsel)⁣ Sawangan, Depok","Rp 741.000.000","2","2","55","63","","","","","","1","",""
"https://www.lamudi.co.id/449-rumah-2lt-nuansa-bali-strategis-spek-ok-bata-m-166623027257.html","449.Rumah 2Lt nuansa Bali Strategis Spek ok Bata Merah Sawangan Depok","Cinangka Sawangan Depok Sawangan, Depok","Rp 824.696.250","3","2","60","72","","","","","","2","",""
"https://www.lamudi.co.id/ad-cluster-baru-1lantai-di-harjamukti-depok-dekat-166735196075.html","Ad.Cluster Baru 1lantai di Harjamukti Depok dekat ke Pintu tol Cibubur","Harjamukti Cimanggis Depok Harjamukti, Depok","Rp 966.000.000","2","1","42","82","","","","","","1","",""
"https://www.lamudi.co.id/kk131-rumah-baru-minimalis-semi-furnish-strategis-166783470058.html","kk131.Rumah Baru Minimalis Semi Furnish Strategis Dkt Pusat kota Depok","Depok","Rp 1.200.000.000","2","2","65","90","","","","","","1","",""
"https://www.lamudi.co.id/tp132-rumah-baru-2-lantai-siap-huni-di-citralake-s-166912762419.html","Tp132.Rumah Baru 2 Lantai Siap Huni di CitraLake Sawangan Depok","Sawangan Depok Sawangan, Depok","Rp 2.500.000.000","4","3","160","200","","","","","","2","",""
